"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.11617907,0.04641163,-1e-04,0.13943488,0.04641163,0.09292326,0.909210526315789,0.757368421052631,"bioclim",1,1
"2",0.38085238,0.16656667,0.04751905,0.16656667,0.14275714,0.0951381,0.93275,0.71,"bioclim",1,2
"3",0.1024641,0.05118205,-1e-04,0.17938718,0.05118205,0.02554103,0.81304347826087,0.636086956521739,"bioclim",1,3
