"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"73" 3 0 -75.9166666666667 -7.58333333333333 251 127 84
"74" 2 0 -71.9166666666667 -4.75 259 98 84
"75" 3 0 -41.4166666666667 -15.5833333333333 215 107 69
"761" 2 0 -56.5833333333333 -27.5833333333333 219 114 51
"77" 3 0 -53.75 -32.9166666666667 174 109 48
"781" 1 0 -50.4166666666667 -18.5833333333333 245 123 71
"79" 2 0 -59.9166666666667 -22.0833333333333 251 129 57
"80" 3 0 -42.75 -22.25 173 102 60
"81" 2 0 -50.75 -20.75 226 126 64
"82" 2 0 -56.25 -18.5833333333333 260 113 65
"83" 3 0 -56.9166666666667 -22.5833333333333 236 116 59
"841" 1 0 -41.4166666666667 -21.9166666666667 234 93 58
"85" 1 0 -57.9166666666667 -22.75 245 118 57
"86" 2 0 -55.75 -25.75 213 118 55
"87" 3 0 -43.75 -17.75 198 114 65
"88" 3 0 -68.5833333333333 -11.9166666666667 254 110 68
"89" 3 0 -44.25 -17.5833333333333 203 123 69
"90" 1 0 -66.5833333333333 -6.58333333333333 261 100 80
"91" 1 0 -54.4166666666667 -25.5833333333333 208 131 56
"92" 3 0 -49.9166666666667 -20.0833333333333 235 129 67
"93" 1 0 -58.75 -25.9166666666667 220 133 53
"94" 3 0 -51.25 -22.4166666666667 219 126 64
"95" 1 0 -48.4166666666667 -27.4166666666667 200 73 47
"96" 2 0 -49.9166666666667 -27.4166666666667 174 106 53
"97" 3 0 -49.9166666666667 -26.75 179 112 54
"98" 3 0 -59.0833333333333 -24.4166666666667 231 131 55
"99" 3 0 -75.9166666666667 -8.08333333333333 225 133 84
"100" 1 0 -50.9166666666667 -18.4166666666667 239 120 72
"101" 3 0 -51.75 -18.5833333333333 238 120 71
"102" 3 0 -60.0833333333333 -22.75 244 131 56
"103" 3 0 -59.25 -24.25 231 132 55
"104" 2 0 -53.0833333333333 -22.75 222 129 65
"105" 2 0 -56.0833333333333 -21.5833333333333 236 117 61
"106" 1 0 -49.0833333333333 -21.5833333333333 220 125 65
"107" 3 0 -59.5833333333333 -20.9166666666667 252 128 60
"108" 2 0 -48.0833333333333 -21.9166666666667 203 113 64
"109" 3 0 -38.9166666666667 -15.25 244 70 64
"110" 3 0 -51.0833333333333 -21.9166666666667 223 125 63
"111" 1 0 -45.25 -21.75 198 136 66
"112" 3 0 -72.0833333333333 -5.25 259 99 83
"113" 3 0 -51.0833333333333 -25.4166666666667 172 114 59
"114" 2 0 -52.25 -18.0833333333333 238 121 70
"115" 3 0 -71.25 -12.4166666666667 249 108 78
"116" 3 0 -66.9166666666667 -4.75 261 89 80
"117" 3 0 -56.5833333333333 -22.4166666666667 236 116 59
"118" 2 0 -70.75 -2.91666666666667 259 91 86
"119" 1 0 -72.9166666666667 -7.91666666666667 255 101 74
"120" 1 0 -47.0833333333333 -19.0833333333333 214 114 68
"121" 2 0 -41.5833333333333 -22.0833333333333 231 91 57
"122" 3 0 -54.25 -27.4166666666667 204 125 55
"123" 1 0 -69.25 -7.91666666666667 253 115 81
"124" 1 0 -54.0833333333333 -22.5833333333333 229 119 64
"125" 1 0 -56.0833333333333 -21.0833333333333 239 119 63
"126" 1 0 -55.25 -21.25 229 117 66
"127" 1 0 -48.0833333333333 -23.4166666666667 191 113 61
"128" 3 0 -55.4166666666667 -18.9166666666667 259 120 65
"129" 3 0 -66.25 -9.08333333333333 259 108 77
"130" 2 0 -48.5833333333333 -26.0833333333333 211 74 48
"131" 3 0 -40.75 -19.5833333333333 242 108 65
"132" 2 0 -73.9166666666667 -10.25 262 113 81
"133" 1 0 -50.25 -18.75 247 124 72
"134" 3 0 -68.4166666666667 -6.75 257 106 81
"135" 1 0 -57.9166666666667 -21.75 250 114 57
"1361" 1 0 -55.75 -27.5833333333333 209 123 53
"137" 2 0 -67.25 -9.08333333333333 258 111 78
"138" 1 0 -41.75 -16.25 216 120 67
"139" 2 0 -75.25 -6.58333333333333 268 116 82
