"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3" "bio5"
"401" 2 0 -52.9166666666667 -13.9166666666667 242 141 71 331
"411" 2 0 -48.4166666666667 -25.25 216 82 48 301
"421" 1 0 -55.25 -8.41666666666666 254 134 69 355
"43" 2 0 -45.4166666666667 -5.58333333333333 263 112 71 343
"441" 1 0 -49.75 -7.75 260 125 77 342
"45" 1 0 -41.4166666666667 -3.08333333333333 274 105 82 342
"46" 1 0 -55.5833333333333 -8.75 244 136 68 347
"471" 3 0 -50.4166666666667 -17.5833333333333 244 119 70 319
"481" 1 0 -50.25 -16.25 238 106 68 311
"491" 1 0 -58.0833333333333 -10.0833333333333 250 129 67 342
"50" 2 0 -43.25 -21.9166666666667 207 114 61 292
"511" 2 0 -51.0833333333333 -6.41666666666666 249 119 80 323
"521" 1 0 -41.25 -14.5833333333333 228 107 70 296
"531" 3 0 -52.4166666666667 -23.4166666666667 212 123 62 302
"54" 2 0 -54.25 -21.75 237 116 65 318
"551" 1 0 -71.0833333333333 -9.25 255 111 77 320
"561" 2 0 -65.5833333333333 -3.25 263 91 85 317
"57" 2 0 -68.75 -17.75 65 181 70 178
"58" 1 0 -59.5833333333333 -14.5833333333333 242 134 71 323
"591" 2 0 -67.0833333333333 -4.75 261 90 81 318
"601" 3 0 -62.75 -12.4166666666667 247 127 71 335
"611" 3 0 -73.0833333333333 -10.5833333333333 259 115 79 328
"621" 2 0 -45.9166666666667 -18.9166666666667 216 124 70 292
"631" 1 0 -39.0833333333333 -15.4166666666667 240 72 65 293
"641" 1 0 -59.4166666666667 -8.25 258 113 66 341
"651" 1 0 -66.75 -15.4166666666667 251 107 64 324
"661" 3 0 -50.75 -18.0833333333333 232 119 71 306
"671" 2 0 -37.75 -7.08333333333333 253 96 72 321
"68" 2 0 -53.5833333333333 -22.75 230 125 64 321
"691" 3 0 -56.25 -7.91666666666666 256 124 67 349
"701" 1 0 -62.5833333333333 -3.91666666666666 265 87 84 321
"71" 1 0 -38.0833333333333 -9.41666666666666 255 102 68 333
"72" 1 0 -48.5833333333333 -9.25 262 123 74 344
"731" 3 0 -57.0833333333333 -12.4166666666667 254 136 69 349
"741" 2 0 -60.4166666666667 -14.5833333333333 223 136 70 309
"751" 3 0 -57.5833333333333 -19.75 257 112 64 339
"761" 2 0 -73.0833333333333 -3.58333333333333 264 98 85 320
"77" 3 0 -38.5833333333333 -4.41666666666666 263 90 79 320
"781" 1 0 -47.75 -12.25 254 125 67 343
"791" 2 0 -47.5833333333333 -10.4166666666667 260 125 70 346
"801" 3 0 -39.4166666666667 -10.5833333333333 237 115 72 319
"811" 2 0 -56.5833333333333 -23.5833333333333 228 115 56 325
"821" 2 0 -51.5833333333333 -27.0833333333333 166 119 56 268
"831" 3 0 -48.9166666666667 -22.5833333333333 204 126 65 290
"841" 1 0 -74.0833333333333 -5.41666666666666 271 104 83 332
"851" 1 0 -67.4166666666667 -13.4166666666667 260 112 71 335
"861" 2 0 -36.5833333333333 -7.91666666666666 225 92 69 295
"87" 3 0 -57.5833333333333 -26.25 224 113 52 334
"88" 3 0 -54.25 -19.75 232 117 69 308
"89" 3 0 -54.5833333333333 -16.75 240 127 66 325
"901" 1 0 -70.25 -12.4166666666667 248 106 74 313
"91" 1 0 -53.25 -8.08333333333333 250 133 73 343
"921" 3 0 -56.9166666666667 -14.9166666666667 256 122 70 326
"93" 1 0 -48.5833333333333 -25.9166666666667 210 74 47 289
"94" 3 0 -71.75 -9.91666666666666 254 113 77 322
"95" 1 0 -42.75 -16.0833333333333 211 127 70 293
"96" 2 0 -50.0833333333333 -14.0833333333333 262 111 70 337
"97" 3 0 -58.0833333333333 -14.9166666666667 240 133 72 318
"98" 3 0 -66.0833333333333 -3.91666666666666 263 90 84 317
"99" 3 0 -52.75 -29.0833333333333 177 103 53 281
"100" 1 0 -43.5833333333333 -7.08333333333333 274 111 74 352
"101" 3 0 -40.4166666666667 -18.9166666666667 237 102 68 312
"102" 3 0 -71.5833333333333 -16.0833333333333 60 177 75 164
"103" 3 0 -64.9166666666667 -10.5833333333333 262 109 71 339
"104" 2 0 -58.9166666666667 -11.5833333333333 238 132 68 327
"105" 2 0 -54.9166666666667 -27.4166666666667 200 125 55 316
"106" 1 0 -65.5833333333333 -13.75 259 121 71 341
"107" 3 0 -55.75 -28.0833333333333 209 122 52 329
"108" 2 0 -51.5833333333333 -29.4166666666667 179 96 51 279
"109" 3 0 -56.4166666666667 -6.91666666666666 258 115 68 342
"110" 3 0 -57.25 -10.25 247 134 69 341
"111" 1 0 -50.0833333333333 -16.75 239 111 68 312
"112" 3 0 -44.5833333333333 -23.0833333333333 221 101 59 302
"113" 3 0 -37.9166666666667 -9.08333333333333 239 99 66 315
"114" 2 0 -71.25 -2.91666666666666 259 92 85 312
"115" 3 0 -74.0833333333333 -14.5833333333333 58 165 77 155
"116" 3 0 -41.4166666666667 -6.58333333333333 246 110 73 325
"117" 3 0 -42.4166666666667 -9.08333333333333 267 138 78 351
"118" 2 0 -42.4166666666667 -14.5833333333333 222 111 70 296
"119" 1 0 -47.0833333333333 -17.9166666666667 231 118 71 303
"120" 1 0 -56.4166666666667 -18.5833333333333 260 112 65 337
"121" 2 0 -50.4166666666667 -10.9166666666667 274 121 74 351
"122" 3 0 -53.9166666666667 -9.91666666666666 252 144 69 358
"123" 1 0 -61.4166666666667 -6.91666666666666 263 100 74 331
"124" 1 0 -42.75 -6.41666666666666 267 114 73 350
"125" 1 0 -59.25 -13.0833333333333 229 134 70 314
"126" 1 0 -50.4166666666667 -23.5833333333333 203 124 62 293
"127" 1 0 -54.4166666666667 -10.5833333333333 249 146 69 356
"128" 3 0 -65.25 -7.25 262 101 77 326
"129" 3 0 -55.9166666666667 -21.25 237 118 62 321
"130" 2 0 -54.25 -25.5833333333333 205 132 56 316
"131" 3 0 -51.0833333333333 -27.25 155 115 56 255
"132" 2 0 -42.5833333333333 -22.25 175 102 59 259
"133" 1 0 -43.5833333333333 -15.25 245 119 70 321
"134" 3 0 -60.4166666666667 -19.5833333333333 249 131 63 343
"135" 1 0 -68.5833333333333 -4.75 256 97 85 313
"136" 1 0 -68.4166666666667 -7.41666666666666 255 111 81 318
"137" 2 0 -51.5833333333333 -22.75 219 126 64 306
"138" 1 0 -42.9166666666667 -2.41666666666666 273 87 82 329
"139" 2 0 -72.5833333333333 -9.75 257 112 77 325
"140" 2 0 -57.9166666666667 -26.0833333333333 224 113 52 337
"141" 3 0 -61.0833333333333 -15.75 241 142 68 334
"142" 3 0 -54.25 -17.5833333333333 236 127 68 319
"143" 1 0 -69.5833333333333 -16.5833333333333 59 141 70 146
"144" 1 0 -46.25 -18.5833333333333 217 117 70 291
"145" 1 0 -66.0833333333333 -7.75 261 104 78 325
"146" 2 0 -44.75 -2.75 272 90 84 330
"147" 3 0 -76.0833333333333 -11.5833333333333 24 138 77 100
"148" 3 0 -53.75 -32.5833333333333 173 112 49 299
"149" 1 0 -72.25 -9.91666666666666 255 113 77 323
"150" 3 0 -66.4166666666667 -3.08333333333333 257 93 85 313
"151" 1 0 -70.0833333333333 -11.5833333333333 243 114 71 315
"152" 1 0 -54.5833333333333 -10.75 250 146 69 355
"153" 2 0 -47.25 -20.4166666666667 203 101 66 268
"154" 2 0 -57.25 -23.9166666666667 231 113 56 329
"155" 3 0 -58.4166666666667 -19.9166666666667 257 123 63 347
"156" 1 0 -58.4166666666667 -27.75 216 113 49 336
"157" 2 0 -42.75 -10.75 258 140 75 346
