FID;ID_UC0;NOME_UC1;ID_WCMC2;CATEGORI3;GRUPO4;ESFERA5;ANO_CRIA6;GID7;QUALIDAD8;ATO_LEGA9;DT_ULTIM10;CODIGO_U11;NOME_ORG12;POINT_X;POINT_Y
0;1977;RESERVA DE DESENVOLVIMENTO SUSTENTAVEL DO RIO MADEIRA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2006;4618;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 26.009 de 03/07/2006;05/02/2016;0000.13.1977;Secretaria de Estado do Meio Ambiente do Amazonas;-60.525331;-5.086387
1;1573;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO JUMA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2006;3870;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 26010 de 03/07/2006;15/02/2016;0000.13.1573;Secretaria de Estado do Meio Ambiente do Amazonas;-60.310825;-5.932550
2;416;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL VEREDAS DO ACARI;352059;Reserva de Desenvolvimento Sustentável;US;estadual;2003;3093;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/NÚMERO de 22/10/2003;21/08/2009;0000.31.0416;Instituto Estadual de Florestas de Minas Gerais;-45.408162;-15.669456
3;1691;RDS DOS PINHEIRINHOS; ;Reserva de Desenvolvimento Sustentável;US;estadual;2008;4581;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1691;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.552681;-24.970176
4;1687;RDS DA BARRA DO UNA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2013;2929;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 14.982 de 09/04/2013;30/09/2015;0000.35.1687;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.082717;-24.425989
5;1692;RDS QUILOMBOS DE BARRA DO TURVO; ;Reserva de Desenvolvimento Sustentável;US;estadual;2008;4587;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1692;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.458442;-24.924454
6;3480;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL VITóRIA DE SOUZEL; ;Reserva de Desenvolvimento Sustentável;US;estadual;2016;13226;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.566 de 20/06/2016;22/02/2017;0000.15.3480;Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará;-51.976190;-2.786960
7;1689;RDS DO DESPRAIADO; ;Reserva de Desenvolvimento Sustentável;US;estadual;2013;2928;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 14.982 de 09/04/2013;30/09/2015;0000.35.1689;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.363222;-24.390799
8;988;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL RIO AMAPÁ;352137;Reserva de Desenvolvimento Sustentável;US;estadual;2005;3874;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 25041 de 02/06/2005;15/02/2016;0000.13.0988;Secretaria de Estado do Meio Ambiente do Amazonas;-61.808985;-5.508424
9;1732;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL IGAPÓ-AÇU; ;Reserva de Desenvolvimento Sustentável;US;estadual;2009;4627;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 28.420 de 30/03/2009;15/02/2016;0000.13.1732;Secretaria de Estado do Meio Ambiente do Amazonas;-61.573691;-4.949427
10;1031;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL PUCURUÍ - ARARÃO; ;Reserva de Desenvolvimento Sustentável;US;estadual;2002;1800;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 6.451 de 11/04/2002;19/02/2016;0000.15.1031;Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará;-49.708006;-4.185313
11;1468;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL ESTADUAL PONTA DO TUBARãO; ;Reserva de Desenvolvimento Sustentável;US;estadual;2003;1433;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 8349 de 18/07/2003;27/06/2007;0000.24.1468;Instituto de Desenvolvimento Sustentável e Meio Ambiente do Rio Grande do Norte;-36.464214;-5.089569
12;3182;RESERVA DE DESENVOLVIMENTO SUSTENTAVEL PURANGA CONQUISTA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2014;11715;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 4.015 de 24/03/2014;22/02/2016;0000.13.3182;Secretaria de Estado do Meio Ambiente do Amazonas;-60.362192;-2.842591
13;3481;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL CAMPO DAS MANGABAS; ;Reserva de Desenvolvimento Sustentável;US;estadual;2016;13230;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.567 de 20/06/2016;22/02/2017;0000.15.3481;Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará;-47.538473;-0.752160
14;990;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO UATUMÃ; ;Reserva de Desenvolvimento Sustentável;US;estadual;2004;4634;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 24.295 de 25/06/2004;15/02/2016;0000.13.0990;Secretaria de Estado do Meio Ambiente do Amazonas;-58.603402;-2.305721
15;1832;RESERVA ESTADUAL DE DESENVOLVIMENTO SUSTENTÁVEL CONCHA D´OSTRA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2007;3373;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 8464 de 27/02/2007;27/10/2011;0000.32.1832;Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo;-40.528017;-20.676075
16;981;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL AMANÃ;352134;Reserva de Desenvolvimento Sustentável;US;estadual;1998;925;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 19021 de 06/08/1998;25/02/2016;0000.13.0981;Secretaria de Estado do Meio Ambiente do Amazonas;-64.207564;-2.282648
17;982;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ;352150;Reserva de Desenvolvimento Sustentável;US;estadual;2005;3771;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 24811 de 21/01/2005;15/02/2016;0000.13.0982;Secretaria de Estado do Meio Ambiente do Amazonas;-59.665770;-8.474919
18;1735;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO MATUPIRI; ;Reserva de Desenvolvimento Sustentável;US;estadual;2009;4629;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 28.423 de 30/03/2009;15/02/2016;0000.13.1735;Secretaria de Estado do Meio Ambiente do Amazonas;-60.624858;-4.882894
19;1688;RDS BARREIRO ANHEMAS; ;Reserva de Desenvolvimento Sustentável;US;estadual;2008;4579;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1688;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.462196;-24.833203
20;989;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL UACARÍ;352138;Reserva de Desenvolvimento Sustentável;US;estadual;2005;2898;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 25039 de 02/06/2005;15/02/2016;0000.13.0989;Secretaria de Estado do Meio Ambiente do Amazonas;-67.682894;-5.724372
21;986;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ;19769;Reserva de Desenvolvimento Sustentável;US;estadual;1990;3885;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 12836 de 09/03/1990;15/02/2016;0000.13.0986;Secretaria de Estado do Meio Ambiente do Amazonas;-65.895790;-2.381134
22;292;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL DO RIO IRATAPURU; ;Reserva de Desenvolvimento Sustentável;US;estadual;1997;1606;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 0392 de 11/12/1997;29/03/2016;0000.16.0292;Secretaria de Estado do Meio Ambiente do Amapá;-52.672231;0.288079
23;1730;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO NEGRO; ;Reserva de Desenvolvimento Sustentável;US;estadual;2008;2951;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 3.355 de 30/12/2008;15/02/2016;0000.13.1730;Secretaria de Estado do Meio Ambiente do Amazonas;-60.726901;-2.962119
24;723;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO AVENTUREIRO;39852;Reserva de Desenvolvimento Sustentável;US;estadual;1990;9851;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 15983 de 28/11/1990;06/08/2014;0000.33.0723;Instituto Estadual do Ambiente do Rio de Janeiro;-44.301220;-23.195277
25;984;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CANUMÃ;352142;Reserva de Desenvolvimento Sustentável;US;estadual;2005;928;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 25026 de 23/05/2005;15/02/2016;0000.13.0984;Secretaria de Estado do Meio Ambiente do Amazonas;-58.946880;-3.948249
26;1690;RDS LAVRAS; ;Reserva de Desenvolvimento Sustentável;US;estadual;2008;4585;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1690;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.245030;-24.771537
27;1030;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ALCOBAÇA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2002;1799;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 6.451 de 11/04/2002;19/02/2016;0000.15.1030;Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará;-49.797270;-3.870273
28;985;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CUJUBIM;352139;Reserva de Desenvolvimento Sustentável;US;estadual;2003;929;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 23724 de 08/09/2003;15/02/2016;0000.13.0985;Secretaria de Estado do Meio Ambiente do Amazonas;-68.888188;-5.475619
29;1693;RDS ITAPANHAPIMA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2008;4583;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1693;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.034894;-25.118871
30;987;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL PIAGAÇU PURUS;352136;Reserva de Desenvolvimento Sustentável;US;estadual;2003;3872;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 23723 de 08/09/2003;25/02/2016;0000.13.0987;Secretaria de Estado do Meio Ambiente do Amazonas;-62.503766;-4.656610
31;983;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL BARARATI;352154;Reserva de Desenvolvimento Sustentável;US;estadual;2005;3773;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 24.813 de 25/01/2005;15/02/2016;0000.13.0983;Secretaria de Estado do Meio Ambiente do Amazonas;-58.372607;-7.681566
32;1686;RESERVA EXTRATIVISTA TAQUARI; ;Reserva Extrativista;US;estadual;2008;4589;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1686;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.050287;-25.057601
33;777;RESERVA EXTRATIVISTA RIO PRETO-JACUNDÁ;33714;Reserva Extrativista;US;estadual;1996;3675;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7336 de 19/01/1996;11/02/2016;0000.11.0777;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.271376;-8.941081
34;749;RESERVA EXTRATIVISTA IPÊ;352163;Reserva Extrativista;US;estadual;1995;4947;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7101 de 08/09/1995;01/03/2012;0000.11.0749;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.381440;-9.394236
35;744;RESERVA EXTRATIVISTA MARACATIARA;352160;Reserva Extrativista;US;estadual;1995;4954;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7096 de 08/09/1995;01/03/2012;0000.11.0744;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-61.882203;-9.382638
36;747;RESERVA EXTRATIVISTA MOGNO; ;Reserva Extrativista;US;estadual;1995;4963;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7099 de 08/09/1995;01/03/2012;0000.11.0747;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.099406;-9.338619
37;752;RESERVA EXTRATIVISTA SUCUPIRA;352164;Reserva Extrativista;US;estadual;1995;4969;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7104 de 08/09/1995;01/03/2012;0000.11.0752;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.207745;-9.414791
38;745;RESERVA EXTRATIVISTA FREIJÓ;352171;Reserva Extrativista;US;estadual;1995;4943;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7097 de 08/09/1995;01/03/2012;0000.11.0745;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.111485;-9.585698
39;757;RESERVA EXTRATIVISTA GARROTE;352167;Reserva Extrativista;US;estadual;1995;4945;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7109 de 08/09/1995;01/03/2012;0000.11.0757;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.005778;-9.531017
40;750;RESERVA EXTRATIVISTA JATOBÁ;352180;Reserva Extrativista;US;estadual;1995;4952;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7102 de 08/09/1995;01/03/2012;0000.11.0750;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.239114;-9.733448
41;772;RESERVA EXTRATIVISTA RIO PACAÁS NOVOS;33716;Reserva Extrativista;US;estadual;1995;3673;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 6953 de 19/07/1995;11/02/2016;0000.11.0772;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-64.533001;-11.240192
42;754;RESERVA EXTRATIVISTA AQUARIQUARA;352168;Reserva Extrativista;US;estadual;1995;4935;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7106 de 08/09/1995;01/03/2012;0000.11.0754;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.055173;-9.726768
43;756;RESERVA EXTRATIVISTA SERINGUEIRA;352169;Reserva Extrativista;US;estadual;1995;4967;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7108 de 08/09/1995;01/03/2012;0000.11.0756;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.041578;-9.553918
44;753;RESERVA EXTRATIVISTA CASTANHEIRA;352173;Reserva Extrativista;US;estadual;1995;4937;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7105 de 08/09/1995;01/03/2012;0000.11.0753;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.198183;-9.543532
45;1733;RESERVA EXTRATIVISTA CANUTAMA; ;Reserva Extrativista;US;estadual;2009;4631;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 28.421 de 30/03/2009;15/02/2016;0000.13.1733;Secretaria de Estado do Meio Ambiente do Amazonas;-64.645660;-6.831972
46;755;RESERVA EXTRATIVISTA ROXINHO;352170;Reserva Extrativista;US;estadual;1995;4965;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7107 de 08/09/1995;01/03/2012;0000.11.0755;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.067841;-9.575056
47;463;RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT;352076;Reserva Extrativista;US;estadual;1996;3963;Esquemático (O poligono é uma representação esquemática da dimensão da unidade).;Decreto nº 9.521 de 19/06/1996;27/01/2016;0000.51.0463;Secretaria de Estado do Meio Ambiente de Mato Grosso;-60.496215;-9.183058
48;1685;RESERVA EXTRATIVISTA ILHA DO TUMBA; ;Reserva Extrativista;US;estadual;2008;4591;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1685;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.010575;-25.200534
49;992;RESERVA EXTRATIVISTA DO GUARIBA; ;Reserva Extrativista;US;estadual;2005;3775;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 25.040 de 02/06/2005;15/02/2016;0000.13.0992;Secretaria de Estado do Meio Ambiente do Amazonas;-60.396327;-8.613680
50;773;RESERVA EXTRATIVISTA PEDRAS NEGRAS;352182;Reserva Extrativista;US;estadual;1995;4958;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 6954 de 19/07/1995;13/06/2011;0000.11.0773;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.832406;-12.807357
51;743;RESERVA EXTRATIVISTA ANGELIM;352162;Reserva Extrativista;US;estadual;1995;4933;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7095 de 08/09/1995;01/03/2012;0000.11.0743;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.310659;-9.337428
52;991;RESERVA EXTRATIVISTA CATUÁ-IPIXUNA;352135;Reserva Extrativista;US;estadual;2003;3876;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 23722 de 08/09/2003;15/02/2016;0000.13.0991;Secretaria de Estado do Meio Ambiente do Amazonas;-64.215964;-3.915904
53;775;RESERVA EXTRATIVISTA RIO CAUTÁRIO; ;Reserva Extrativista;US;estadual;1995;3665;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7028 de 08/09/1995;11/02/2016;0000.11.0775;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-64.334004;-12.016337
54;748;RESERVA EXTRATIVISTA DO ITAÚBA;352174;Reserva Extrativista;US;estadual;1995;4941;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7100 de 08/09/1995;01/03/2012;0000.11.0748;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.198001;-9.745621
55;746;RESERVA EXTRATIVISTA PIQUIÁ;352172;Reserva Extrativista;US;estadual;1995;4961;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7098 de 08/09/1995;01/03/2012;0000.11.0746;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-62.152370;-9.630230
56;771;RESERVA EXTRATIVISTA CURRALINHO;352181;Reserva Extrativista;US;estadual;1995;4939;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 6952 de 19/07/1995;13/06/2011;0000.11.0771;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-64.274557;-12.475644
57;751;RESERVA EXTRATIVISTA MASSARANDUBA;352161;Reserva Extrativista;US;estadual;1995;4956;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7103 de 08/09/1995;01/03/2012;0000.11.0751;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-61.926241;-9.494644
58;1506;RESERVA EXTRATIVISTA DO RIO GREGÓRIO; ;Reserva Extrativista;US;estadual;2007;12580;Esquemático (O poligono é uma representação esquemática da dimensão da unidade).;Decreto nº 26586 de 26/04/2007;03/03/2016;0000.13.1506;Secretaria de Estado do Meio Ambiente do Amazonas;-71.287544;-7.453230
59;776;RESERVA EXTRATIVISTA JACI-PARANÁ; ;Reserva Extrativista;US;estadual;1996;13175;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 7335 de 19/01/1996;13/06/2011;0000.11.0776;Secretaria de Estado do Desenvolvimento Ambiental de Rondônia;-64.247038;-9.754703
60;2350;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BUGIO E COMPANHIA; ;Reserva Particular do Patrimônio Natural;US;estadual;2010;6101;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Outros nº 74-S de 22/02/2010;31/08/2012;0000.32.2350;Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo;-40.968575;-20.063333
61;3445;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PILAR; ;Reserva Particular do Patrimônio Natural;US;estadual;2013;13500;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 466 de 27/06/2013;10/07/2017;0000.33.3445;Instituto Estadual do Ambiente do Rio de Janeiro;-42.794944;-22.854690
62;2796;RESERVA PARTICULAR DO PATRIMôNIO NATURAL PARAíSO I; ;Reserva Particular do Patrimônio Natural;US;estadual;2012;7599;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 3988 de 21/11/2012;26/11/2012;0000.29.2796;Secretaria do Meio Ambiente da Bahia;-39.235339;-16.540934
63;2289;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SETE FLECHAS; ;Reserva Particular do Patrimônio Natural;US;estadual;2010;5986;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 153 de 03/09/2010;07/12/2011;0000.33.2289;Instituto Estadual do Ambiente do Rio de Janeiro;-43.667207;-22.525276
64;3453;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOIS IRMÃOS; ;Reserva Particular do Patrimônio Natural;US;estadual;2016;13019;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Portaria nº 007-R de 22/07/2016;11/11/2016;0000.32.3453;Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo;-40.594193;-20.199264
65;3149;RESERVA PARTICULAR DO PATRIMôNIO NATURAL FAZENDA MINAS GERAIS; ;Reserva Particular do Patrimônio Natural;US;estadual;2013;11258;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 491 de 23/09/2013;19/11/2014;0000.33.3149;Instituto Estadual do Ambiente do Rio de Janeiro;-42.028967;-21.989242
66;3057;RESERVA PARTICULAR DO PATRIMôNIO NATURAL CANTO DOS PáSSAROS II; ;Reserva Particular do Patrimônio Natural;US;estadual;2013;9936;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 406 de 30/01/2013;14/07/2014;0000.33.3057;Instituto Estadual do Ambiente do Rio de Janeiro;-42.903923;-22.232960
67;1982;RESERVA PARTICULAR DO PATRIMôNIO NATURAL CARA DA ONçA; ;Reserva Particular do Patrimônio Natural;US;estadual;2009;5680;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Resolução nº 10 de 29/07/2009;23/09/2016;0000.50.1982;Instituto de Meio Ambiente do Mato Grosso do Sul;-56.737798;-20.737741
68;2684;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA; ;Reserva Particular do Patrimônio Natural;US;estadual;2009;6906;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 023/2008 de 22/06/2009;12/04/2013;0000.27.2684;Instituto do Meio Ambiente de Alagoas;-36.444387;-9.533489
69;2641;RESERVA PARTICULAR DO PATRIMôNIO NATURAL PONTE DO BAIÃO; ;Reserva Particular do Patrimônio Natural;US;estadual;2011;6767;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 256 de 26/07/2011;29/06/2012;0000.33.2641;Instituto Estadual do Ambiente do Rio de Janeiro;-42.083119;-22.416789
70;3211;RESERVA PARTICULAR DO PATRIMONIO NATURAL ESTADUAL DAS CASCATAS; ;Reserva Particular do Patrimônio Natural;US;estadual;2015;11817;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 137/2014 de 26/08/2015;03/09/2015;0000.42.3211;Fundação de Meio Ambiente de Santa Catarina;-49.358088;-27.415893
71;2300;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DA LUZ; ;Reserva Particular do Patrimônio Natural;US;estadual;2009;5834;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 69 de 27/10/2009;11/10/2011;0000.33.2300;Instituto Estadual do Ambiente do Rio de Janeiro;-42.367832;-22.313526
72;3402;RESERVA PARTICULAR DO PATRIMôNIO NATURAL RESERVA VITóRIA PRIMAVERA; ;Reserva Particular do Patrimônio Natural;US;estadual;2016;12637;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 11745 de 12/05/2016;13/05/2016;0000.29.3402;Secretaria do Meio Ambiente da Bahia;-39.142785;-14.140934
73;2900;RESERVA PARTICULAR DO PATRIMôNIO NATURAL ESTÂNCIA RIO DO OURO; ;Reserva Particular do Patrimônio Natural;US;estadual;2012;8673;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 368 de 23/08/2012;25/11/2013;0000.33.2900;Instituto Estadual do Ambiente do Rio de Janeiro;-42.488500;-22.587082
74;3261;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOM PEDRO; ;Reserva Particular do Patrimônio Natural;US;estadual;2013;12084;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 10-R de 14/03/2013;12/02/2016;0000.32.3261;Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo;-40.732319;-19.967788
75;2934;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEU CANTINHO; ;Reserva Particular do Patrimônio Natural;US;estadual;2013;8523;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 13-R de 16/04/2013;04/11/2013;0000.32.2934;Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo;-40.582403;-19.912054
76;3292;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÊS MORENAS; ;Reserva Particular do Patrimônio Natural;US;estadual;2016;12231;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 11263 de 03/02/2016;15/06/2016;0000.29.3292;Secretaria do Meio Ambiente da Bahia;-39.156729;-16.482458
77;1924;RESERVA PARTICULAR DO PATRIMôNIO NATURAL CRISTALINO III; ;Reserva Particular do Patrimônio Natural;US;estadual;2007;4113;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 141 de 05/11/2007;29/04/2011;0000.51.1924;Secretaria de Estado do Meio Ambiente de Mato Grosso;-55.900124;-9.587248
78;2278;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FARGO; ;Reserva Particular do Patrimônio Natural;US;estadual;2010;5864;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 160 de 08/09/2010;11/10/2011;0000.33.2278;Instituto Estadual do Ambiente do Rio de Janeiro;-42.309310;-22.456651
79;2056;RESERVA PARTICULAR DO PATRIMôNIO NATURAL PIANISSOLI; ;Reserva Particular do Patrimônio Natural;US;estadual;2011;5241;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 52 de 04/05/2011;21/06/2011;0000.29.2056;Secretaria do Meio Ambiente da Bahia;-39.386610;-17.058258
