FID;ID_UC0;NOME_UC1;ID_WCMC2;CATEGORI3;GRUPO4;ESFERA5;ANO_CRIA6;GID7;QUALIDAD8;ATO_LEGA9;DT_ULTIM10;CODIGO_U11;NOME_ORG12;POINT_X;POINT_Y
995;3090;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IRMÃOS SATELIS; ;Reserva Particular do Patrimônio Natural;US;federal;2012;10686;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 122 de 09/11/2012;01/08/2014;0000.00.3090;Instituto Chico Mendes de Conservação da Biodiversidade;-61.764740;-11.103211
996;270;FLORESTA NACIONAL DO CREPORI;351815;Floresta;US;federal;2006;7633;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 14/02/2006;03/02/2016;0000.00.0270;Instituto Chico Mendes de Conservação da Biodiversidade;-57.099552;-6.485440
997;190;REFUGIO DE VIDA SILVESTRE ILHA DOS LOBOS;10843;Refúgio de Vida Silvestre;PI;federal;1983;1834;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 88.463 de 04/07/1983;23/04/2010;0000.00.0190;Instituto Chico Mendes de Conservação da Biodiversidade;-49.703981;-29.346090
998;246;RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ;351753;Reserva Extrativista;US;federal;2001;1467;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº s/n de 28/09/2001;23/04/2010;0000.00.0246;Instituto Chico Mendes de Conservação da Biodiversidade;-35.989508;-10.003098
999;209;RESERVA BIOLÓGICA DO LAGO PIRATUBA;42;Reserva Biológica;PI;federal;1980;5323;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 84.914 de 17/07/1980;03/03/2016;0000.00.0209;Instituto Chico Mendes de Conservação da Biodiversidade;-50.225602;1.507333
1000;1809;RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE; ;Reserva Extrativista;US;federal;2009;3229;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 05/06/2009;23/04/2010;0000.00.1809;Instituto Chico Mendes de Conservação da Biodiversidade;-37.827100;-4.198572
1001;78;FLORESTA NACIONAL DE CAÇADOR;10809;Floresta;US;federal;1968;112;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 560 de 25/10/1968;24/09/2007;0000.00.0078;Instituto Chico Mendes de Conservação da Biodiversidade;-51.201595;-26.754942
1002;2208;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA II; ;Reserva Particular do Patrimônio Natural;US;federal;2008;9317;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 97 de 15/12/2008;26/08/2011;0000.00.2208;Instituto Chico Mendes de Conservação da Biodiversidade;-39.374097;-17.077153
1003;24;ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA;351746;Área de Proteção Ambiental;US;federal;1998;42;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 02/10/1998;03/12/2007;0000.00.0024;Instituto Chico Mendes de Conservação da Biodiversidade;-50.678978;-13.137544
1004;3;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO;19751;Área de Proteção Ambiental;US;federal;1983;1820;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 88940 de 07/11/1983;25/03/2010;0000.00.0003;Instituto Chico Mendes de Conservação da Biodiversidade;-48.165487;-15.699827
1005;2155;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTO FRANCO; ;Reserva Particular do Patrimônio Natural;US;federal;2010;9696;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 73 de 31/08/2010;26/08/2011;0000.00.2155;Instituto Chico Mendes de Conservação da Biodiversidade;-49.067946;-27.186108
1006;1192;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DA SERRA NEGRA; ;Reserva Particular do Patrimônio Natural;US;federal;2004;9423;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 37 de 11/03/2004;26/08/2011;0000.00.1192;Instituto Chico Mendes de Conservação da Biodiversidade;-41.693677;-4.068424
1007;2634;RESERVA BIOLÓGICA BOM JESUS; ;Reserva Biológica;PI;federal;2012;6729;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 06/06/2012;22/06/2012;0000.00.2634;Instituto Chico Mendes de Conservação da Biodiversidade;-48.579614;-25.323598
1008;3092;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PIRANGY; ;Reserva Particular do Patrimônio Natural;US;federal;2012;10690;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 135 de 18/12/2012;01/08/2014;0000.00.3092;Instituto Chico Mendes de Conservação da Biodiversidade;-37.745791;-11.252092
1009;71;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;18740;Estação Ecológica;PI;federal;1986;104;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 92964 de 21/07/1986;27/09/2007;0000.00.0071;Instituto Chico Mendes de Conservação da Biodiversidade;-47.442749;-24.820703
1010;273;RESERVA EXTRATIVISTA ARIÓCA PRUANÃ;351805;Reserva Extrativista;US;federal;2005;1758;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 17/11/2005;11/02/2016;0000.00.0273;Instituto Chico Mendes de Conservação da Biodiversidade;-50.003567;-2.348893
1011;1073;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SERRINHA; ;Reserva Particular do Patrimônio Natural;US;federal;2001;10133;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 154 de 25/10/2001;26/08/2011;0000.00.1073;Instituto Chico Mendes de Conservação da Biodiversidade;-46.437559;-22.990511
1012;1085;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMA LUNA; ;Reserva Particular do Patrimônio Natural;US;federal;2001;9698;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 100 de 04/09/2001;26/08/2011;0000.00.1085;Instituto Chico Mendes de Conservação da Biodiversidade;-49.018262;-27.260042
1013;280;RESERVA EXTRATIVISTA RIO IRIRI;351830;Reserva Extrativista;US;federal;2006;1705;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 06/06/2006;04/02/2016;0000.00.0280;Instituto Chico Mendes de Conservação da Biodiversidade;-54.297662;-4.846119
1014;2188;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SERRA DO CARAMANDU; ;Reserva Particular do Patrimônio Natural;US;federal;2008;9605;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 21 de 06/05/2008;26/08/2011;0000.00.2188;Instituto Chico Mendes de Conservação da Biodiversidade;-42.658169;-22.125579
1015;2233;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO SOSSEGO; ;Reserva Particular do Patrimônio Natural;US;federal;2008;9635;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 86 de 05/11/2008;26/08/2011;0000.00.2233;Instituto Chico Mendes de Conservação da Biodiversidade;-43.728598;-22.558229
