FID;NOME;GEOCODIGO;POINT_X;POINT_Y;NOMEUF;SIGLAUF
3311;Santa Terezinha de Goiás;5219704;-49.672710;-14.321568;GOIAS;GO
3312;Nova Iguaçu de Goiás;5214879;-49.287780;-14.311007;GOIAS;GO
3313;Nova Lacerda;5106182;-59.771255;-14.301849;MATO GROSSO;MT
3314;Ibiassucê;2912004;-42.305366;-14.291407;BAHIA;BA
3315;Nova Marilândia;5108857;-57.264801;-14.289848;MATO GROSSO;MT
3316;Gongogi;2911501;-39.581351;-14.281422;BAHIA;BA
3317;Ubaitaba;2932200;-39.420847;-14.267792;BAHIA;BA
3318;Itagibá;2915205;-39.829682;-14.251932;BAHIA;BA
3319;Posse;5218300;-46.441200;-14.236368;GOIAS;GO
3320;Malhada;2920205;-43.651428;-14.212228;BAHIA;BA
3321;Guanambi;2911709;-42.821865;-14.205523;BAHIA;BA
3322;Campos Verdes;5204953;-49.659697;-14.199787;GOIAS;GO
3323;Alto Paraíso de Goiás;5200605;-47.535850;-14.183117;GOIAS;GO
3324;Brumado;2904605;-41.681954;-14.170921;BAHIA;BA
3325;Alto Horizonte;5200555;-49.428812;-14.170302;GOIAS;GO
3326;Mirante;2921450;-40.762996;-14.168184;BAHIA;BA
3327;Palmas de Monte Alto;2923407;-43.245587;-14.163139;BAHIA;BA
3328;Nova Nazaré;5106174;-51.889956;-14.156069;MATO GROSSO;MT
3329;Maraú;2920700;-39.150172;-14.151743;BAHIA;BA
3330;Itagi;2915106;-40.030300;-14.151231;BAHIA;BA
3331;Uirapuru;5221577;-49.965765;-14.149741;GOIAS;GO
3332;Feira da Mata;2910776;-44.232540;-14.135171;BAHIA;BA
3333;Nova Crixás;5214838;-50.561869;-14.133466;GOIAS;GO
3334;Tanhaçu;2931004;-41.179389;-14.133213;BAHIA;BA
3335;Aiquara;2900603;-39.891882;-14.094837;BAHIA;BA
3336;Diamantino;5103502;-56.801267;-14.092019;MATO GROSSO;MT
3337;Iaciara;5209903;-46.741509;-14.090681;GOIAS;GO
3338;Barra do Rocha;2903102;-39.604653;-14.085859;BAHIA;BA
3339;Ibirapitanga;2912707;-39.430695;-14.061146;BAHIA;BA
3340;Ipiaú;2913903;-39.723606;-14.060579;BAHIA;BA
3341;Manoel Vitorino;2920403;-40.549950;-14.050704;BAHIA;BA
3342;Ubatã;2932309;-39.530207;-14.050566;BAHIA;BA
3343;Jaborandi;2917359;-45.440280;-14.046199;BAHIA;BA
3344;Lagoa Real;2918753;-42.220586;-14.046140;BAHIA;BA
3345;Campinorte;5204706;-48.974217;-14.043393;GOIAS;GO
3346;Carinhanha;2907103;-43.847293;-14.018350;BAHIA;BA
3347;Camamu;2905800;-39.176174;-14.013330;BAHIA;BA
3348;Mara Rosa;5212808;-49.394852;-13.996377;GOIAS;GO
3349;Colinas do Sul;5205521;-48.075231;-13.984131;GOIAS;GO
3350;Água Boa;5100201;-52.500435;-13.976751;MATO GROSSO;MT
3351;Caetité;2905206;-42.492478;-13.971521;BAHIA;BA
3352;Ibirataia;2912905;-39.643762;-13.970564;BAHIA;BA
3353;Jitaúna;2918308;-39.885576;-13.941629;BAHIA;BA
3354;Guarani de Goiás;5209408;-46.431531;-13.889968;GOIAS;GO
3355;Campinaçu;5204656;-48.567165;-13.883972;GOIAS;GO
3356;Igaporã;2913408;-42.701576;-13.873154;BAHIA;BA
3357;Jequié;2918001;-40.159646;-13.871669;BAHIA;BA
3358;Cocalinho;5103106;-51.148232;-13.869885;MATO GROSSO;MT
3359;Igrapiúna;2913457;-39.177332;-13.858125;BAHIA;BA
3360;Dom Basílio;2910107;-41.711811;-13.857106;BAHIA;BA
3361;Matina;2921054;-42.927293;-13.844687;BAHIA;BA
3362;Amaralina;5200829;-49.615540;-13.842251;GOIAS;GO
3363;Ituaçu;2917201;-41.385859;-13.836492;BAHIA;BA
3364;Santa Rita do Trivelato;5107768;-55.294122;-13.832858;MATO GROSSO;MT
3365;Apuarema;2901957;-39.735335;-13.824678;BAHIA;BA
3366;Contendas do Sincorá;2908804;-41.090527;-13.820247;BAHIA;BA
3367;Nova Ibiá;2922755;-39.585658;-13.817460;BAHIA;BA
3368;Coribe;2909109;-44.375972;-13.814427;BAHIA;BA
3369;Estrela do Norte;5207501;-49.086263;-13.814065;GOIAS;GO
3370;Piraí do Norte;2924678;-39.364271;-13.810155;BAHIA;BA
3371;Livramento de Nossa Senhora;2919504;-42.013170;-13.807809;BAHIA;BA
3372;Nova Roma;5214903;-47.010360;-13.800418;GOIAS;GO
3373;Mundo Novo;5214051;-50.203481;-13.797950;GOIAS;GO
3374;Gandu;2911204;-39.475467;-13.785416;BAHIA;BA
3375;Itamari;2915700;-39.659766;-13.768192;BAHIA;BA
