"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3" "bio4"
"371" 2 0 -67.0833333333333 -8.58333333333333 257 110 79 538
"381" 3 0 -66.75 -3.75 259 91 84 310
"39" 1 0 -46.25 -9.91666666666666 249 131 72 652
"401" 2 0 -53.0833333333333 -32.75 175 97 47 3618
"411" 2 0 -51.5833333333333 -30.5833333333333 187 90 47 3382
"421" 1 0 -55.5833333333333 -10.25 255 141 69 636
"43" 2 0 -54.9166666666667 -22.75 228 118 61 2415
"441" 1 0 -75.9166666666667 -8.41666666666666 212 138 84 526
"45" 1 0 -48.75 -21.0833333333333 224 123 69 1862
"46" 1 0 -44.9166666666667 -13.75 233 127 71 1112
"471" 3 0 -45.4166666666667 -17.25 231 136 69 1607
"481" 1 0 -40.4166666666667 -8.41666666666666 245 123 75 1356
"491" 1 0 -57.4166666666667 -15.9166666666667 253 124 67 1638
"50" 2 0 -50.0833333333333 -6.58333333333333 256 115 79 304
"511" 2 0 -48.25 -24.75 205 92 50 3001
"521" 1 0 -46.0833333333333 -2.25 267 89 83 457
"531" 3 0 -47.9166666666667 -20.5833333333333 219 113 67 1625
"54" 2 0 -41.25 -16.9166666666667 213 115 68 1705
"551" 1 0 -57.25 -27.4166666666667 225 115 51 3927
"561" 2 0 -50.4166666666667 -18.25 239 121 71 1253
"57" 2 0 -45.75 -15.4166666666667 224 132 70 1258
"58" 1 0 -59.5833333333333 -20.25 250 130 62 2779
"591" 2 0 -56.25 -26.75 217 117 51 3872
"601" 3 0 -67.4166666666667 -12.9166666666667 261 112 71 1019
"611" 3 0 -50.5833333333333 -5.75 251 110 82 317
"621" 2 0 -51.25 -28.25 165 103 54 2955
"631" 1 0 -41.25 -20.9166666666667 226 107 62 1859
"641" 1 0 -61.0833333333333 -12.5833333333333 230 129 70 613
"651" 1 0 -40.4166666666667 -14.0833333333333 206 87 67 1393
"661" 3 0 -66.5833333333333 -3.58333333333333 259 91 84 337
"671" 2 0 -37.75 -6.91666666666666 259 97 74 1144
"68" 2 0 -65.5833333333333 -4.25 264 90 84 300
"691" 3 0 -52.5833333333333 -15.25 224 142 69 1482
"701" 1 0 -70.0833333333333 -17.75 137 153 73 1977
"71" 1 0 -64.75 -17.0833333333333 251 111 62 2081
"72" 1 0 -52.25 -12.4166666666667 256 136 70 914
"731" 3 0 -58.75 -22.4166666666667 246 123 57 3199
"741" 2 0 -44.5833333333333 -21.9166666666667 178 128 65 2112
"751" 3 0 -65.4166666666667 -16.0833333333333 254 111 62 1923
"761" 2 0 -39.75 -7.25 226 103 73 1103
"77" 3 0 -40.75 -13.75 235 97 71 1363
"781" 1 0 -39.25 -15.75 238 76 67 1235
"791" 2 0 -42.25 -4.08333333333333 271 114 73 869
"801" 3 0 -44.9166666666667 -1.58333333333333 270 75 78 524
"811" 2 0 -43.0833333333333 -18.5833333333333 200 120 64 2042
"821" 2 0 -71.75 -4.75 258 98 84 391
"831" 3 0 -40.0833333333333 -13.25 206 83 68 1375
"841" 1 0 -61.5833333333333 -14.0833333333333 242 131 70 1080
"851" 1 0 -48.25 -18.25 235 125 68 1675
"861" 2 0 -55.75 -17.5833333333333 261 119 66 1738
"87" 3 0 -76.0833333333333 -10.0833333333333 88 144 79 673
"88" 3 0 -62.9166666666667 -5.58333333333333 263 93 80 332
"89" 3 0 -50.4166666666667 -29.9166666666667 187 82 46 3277
"901" 1 0 -55.4166666666667 -31.5833333333333 180 121 48 4324
"91" 1 0 -41.0833333333333 -15.9166666666667 222 104 67 1589
"921" 3 0 -44.5833333333333 -15.4166666666667 235 134 69 1417
"93" 1 0 -71.75 -3.91666666666666 260 95 84 437
"94" 3 0 -64.5833333333333 -7.91666666666666 262 102 75 451
"95" 1 0 -48.75 -26.9166666666667 201 93 50 2951
"96" 2 0 -51.25 -20.25 236 126 67 2024
"97" 3 0 -51.75 -26.9166666666667 157 122 58 3034
"98" 3 0 -56.0833333333333 -23.0833333333333 225 118 59 2710
"99" 3 0 -65.5833333333333 -17.9166666666667 150 164 68 2034
"100" 1 0 -50.9166666666667 -22.0833333333333 217 126 64 2562
"101" 3 0 -66.0833333333333 -4.25 262 90 82 351
"102" 3 0 -63.9166666666667 -9.08333333333333 260 104 72 624
"103" 3 0 -46.9166666666667 -9.25 257 124 73 531
"104" 2 0 -48.4166666666667 -14.0833333333333 250 105 69 762
"105" 2 0 -57.9166666666667 -24.4166666666667 232 118 55 3437
"106" 1 0 -55.25 -23.75 218 117 57 2831
"107" 3 0 -46.5833333333333 -14.5833333333333 249 109 70 908
"108" 2 0 -45.25 -7.91666666666666 257 119 74 715
"109" 3 0 -48.9166666666667 -8.41666666666666 261 127 76 365
"110" 3 0 -52.9166666666667 -7.41666666666666 248 129 75 359
"111" 1 0 -68.9166666666667 -9.91666666666666 251 115 74 777
"112" 3 0 -51.75 -11.5833333333333 264 129 73 807
"113" 3 0 -47.75 -11.0833333333333 254 125 69 715
"114" 2 0 -48.9166666666667 -4.58333333333333 266 103 84 281
"115" 3 0 -65.9166666666667 -7.58333333333333 261 103 78 383
"116" 3 0 -66.75 -9.91666666666666 262 108 74 653
"117" 3 0 -44.0833333333333 -2.91666666666666 270 85 82 484
"118" 2 0 -51.4166666666667 -30.75 190 88 46 3435
"119" 1 0 -47.75 -14.4166666666667 232 102 69 795
"120" 1 0 -72.9166666666667 -12.9166666666667 126 161 77 956
"121" 2 0 -56.0833333333333 -30.4166666666667 187 121 48 4378
"122" 3 0 -58.5833333333333 -14.5833333333333 229 135 73 1172
"123" 1 0 -75.9166666666667 -12.4166666666667 51 142 78 1056
"124" 1 0 -63.25 -15.5833333333333 255 118 67 1829
"125" 1 0 -65.4166666666667 -14.0833333333333 257 119 69 1197
"126" 1 0 -44.0833333333333 -20.9166666666667 195 120 66 1976
"127" 1 0 -41.0833333333333 -6.91666666666666 253 111 74 1031
"128" 3 0 -43.75 -18.9166666666667 193 118 64 1811
"129" 3 0 -55.25 -8.58333333333333 254 135 68 555
"130" 2 0 -65.4166666666667 -2.41666666666666 263 93 87 343
"131" 3 0 -35.9166666666667 -5.41666666666666 247 87 74 1084
"132" 2 0 -38.4166666666667 -6.58333333333333 260 106 75 988
"133" 1 0 -52.5833333333333 -26.25 173 139 60 3223
"134" 3 0 -35.4166666666667 -6.75 251 100 74 1298
"135" 1 0 -69.25 -2.41666666666666 254 90 87 385
"136" 1 0 -40.4166666666667 -14.9166666666667 213 92 66 1431
"137" 2 0 -35.4166666666667 -7.41666666666666 246 97 73 1247
"138" 1 0 -45.25 -7.41666666666666 262 117 73 735
"139" 2 0 -44.5833333333333 -14.0833333333333 233 129 70 1213
"140" 2 0 -56.5833333333333 -14.75 249 123 72 965
"141" 3 0 -42.0833333333333 -3.41666666666666 270 93 81 623
"142" 3 0 -74.0833333333333 -5.08333333333333 270 102 82 417
"143" 1 0 -56.4166666666667 -21.25 237 117 61 2464
"144" 1 0 -71.9166666666667 -3.41666666666666 261 94 85 440
"145" 1 0 -56.75 -5.41666666666666 266 102 73 448
"146" 2 0 -35.9166666666667 -5.58333333333333 250 89 74 1112
"147" 3 0 -52.9166666666667 -15.25 237 148 68 1677
"148" 3 0 -51.75 -5.91666666666666 248 117 82 301
"149" 1 0 -71.5833333333333 -5.75 257 101 82 411
"150" 3 0 -72.0833333333333 -8.75 254 107 76 585
"151" 1 0 -67.9166666666667 -6.41666666666666 258 103 81 383
"152" 1 0 -36.4166666666667 -7.08333333333333 226 92 73 1217
"153" 2 0 -69.4166666666667 -8.75 250 119 79 651
"154" 2 0 -56.9166666666667 -7.25 259 116 66 425
"155" 3 0 -72.25 -8.25 255 103 75 589
"156" 1 0 -66.5833333333333 -7.08333333333333 259 103 80 372
"157" 2 0 -38.9166666666667 -13.9166666666667 247 63 64 1060
"158" 2 0 -42.75 -5.25 274 114 70 1012
"159" 3 0 -42.4166666666667 -14.5833333333333 222 111 70 1338
"160" 3 0 -60.0833333333333 -12.75 210 128 70 590
"161" 2 0 -58.5833333333333 -10.0833333333333 250 127 67 557
"162" 2 0 -68.75 -2.08333333333333 255 90 87 380
"163" 1 0 -40.0833333333333 -19.25 241 93 63 1628
"164" 3 0 -69.4166666666667 -12.75 252 109 73 1061
"165" 1 0 -54.9166666666667 -4.41666666666666 253 102 79 502
"166" 1 0 -70.75 -4.41666666666666 258 98 85 371
"167" 2 0 -50.5833333333333 -6.75 251 120 80 277
"168" 3 0 -74.0833333333333 -14.9166666666667 83 166 77 1258
"169" 2 0 -46.5833333333333 -15.75 226 123 70 1228
"170" 2 0 -58.75 -15.5833333333333 251 131 70 1589
"171" 1 0 -44.25 -18.4166666666667 225 131 67 1973
"172" 2 0 -42.75 -18.75 198 121 64 2097
"173" 3 0 -56.4166666666667 -32.25 177 119 46 4668
"174" 1 0 -39.5833333333333 -4.75 251 95 79 647
"175" 3 0 -58.4166666666667 -11.25 245 132 69 680
"176" 1 0 -48.9166666666667 -7.41666666666666 259 119 76 347
"177" 1 0 -46.0833333333333 -16.75 227 132 70 1419
"178" 2 0 -51.25 -16.75 246 116 69 1068
"179" 3 0 -39.0833333333333 -11.4166666666667 231 103 71 1562
"180" 3 0 -64.25 -17.4166666666667 238 111 64 2014
"181" 1 0 -69.25 -6.08333333333333 255 105 84 377
"182" 1 0 -49.9166666666667 -10.5833333333333 273 121 73 535
"183" 1 0 -54.75 -19.4166666666667 237 119 68 1661
"184" 3 0 -59.0833333333333 -12.0833333333333 235 132 68 691
"185" 2 0 -75.75 -6.91666666666666 249 126 84 508
"186" 2 0 -69.0833333333333 -5.75 255 103 84 359
"187" 2 0 -45.75 -21.25 202 131 66 2162
"188" 3 0 -47.9166666666667 -22.75 208 117 62 2393
"189" 3 0 -51.0833333333333 -19.25 242 125 70 1580
"190" 1 0 -55.9166666666667 -13.75 246 135 75 887
"191" 2 0 -39.0833333333333 -11.25 237 110 71 1651
"192" 2 0 -50.75 -25.5833333333333 173 117 57 3026
"193" 2 0 -40.0833333333333 -3.08333333333333 275 109 80 671
"194" 3 0 -64.9166666666667 -16.5833333333333 252 111 62 2001
"195" 2 0 -69.9166666666667 -18.4166666666667 155 134 66 2407
"196" 3 0 -37.0833333333333 -10.9166666666667 256 59 67 995
"197" 1 0 -51.4166666666667 -13.75 262 125 71 949
"198" 1 0 -45.25 -10.9166666666667 237 150 69 1103
"199" 1 0 -43.5833333333333 -5.75 269 110 71 959
"200" 2 0 -37.5833333333333 -8.91666666666666 226 92 65 1864
"201" 2 0 -41.4166666666667 -12.75 204 115 72 1241
"202" 3 0 -49.5833333333333 -22.5833333333333 208 128 64 2489
"203" 3 0 -62.0833333333333 -5.08333333333333 264 90 82 376
"204" 2 0 -52.25 -23.5833333333333 209 122 62 2746
"205" 3 0 -61.25 -13.75 236 131 71 953
"206" 2 0 -48.25 -15.4166666666667 229 103 70 861
"207" 1 0 -66.25 -4.91666666666666 262 90 81 306
"208" 1 0 -50.9166666666667 -10.0833333333333 267 127 75 497
"209" 3 0 -43.25 -11.4166666666667 256 138 77 825
"210" 2 0 -38.75 -12.25 233 83 65 1531
"211" 2 0 -41.25 -11.25 209 102 73 1308
"212" 3 0 -47.4166666666667 -14.25 221 102 70 763
"213" 3 0 -41.75 -3.41666666666666 269 99 82 615
"214" 2 0 -73.25 -13.5833333333333 128 164 78 975
"215" 3 0 -53.4166666666667 -5.58333333333333 251 113 79 386
"216" 3 0 -45.4166666666667 -5.25 258 111 74 712
"217" 2 0 -50.75 -4.25 260 102 84 417
"218" 2 0 -46.9166666666667 -12.9166666666667 246 113 71 751
"219" 1 0 -45.9166666666667 -9.75 252 132 72 675
"220" 3 0 -56.75 -28.4166666666667 212 119 50 4077
"221" 3 0 -48.25 -11.9166666666667 260 124 68 733
"222" 1 0 -64.9166666666667 -13.25 265 122 70 947
"223" 2 0 -41.9166666666667 -4.91666666666666 265 117 72 960
"224" 1 0 -50.9166666666667 -6.41666666666666 252 118 80 265
"225" 2 0 -45.4166666666667 -11.9166666666667 240 134 72 849
"226" 2 0 -40.9166666666667 -6.75 240 106 75 963
