"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"109" 3 0 -44.5833333333333 -21.75 186 127 66
"110" 3 0 -44.0833333333333 -21.5833333333333 188 114 64
"111" 3 0 -50.25 -20.9166666666667 227 127 65
"112" 1 0 -43.9166666666667 -21.9166666666667 186 109 62
"113" 3 0 -49.4166666666667 -22.25 209 128 65
"114" 3 0 -50.25 -21.5833333333333 215 127 64
"115" 3 0 -45.4166666666667 -21.4166666666667 198 132 66
"116" 2 0 -45.0833333333333 -23.4166666666667 206 98 56
"117" 2 0 -49.0833333333333 -20.5833333333333 231 128 68
"118" 1 0 -45.4166666666667 -22.75 170 116 62
"119" 3 0 -43.0833333333333 -22.0833333333333 216 114 60
"120" 2 0 -43.5833333333333 -22.4166666666667 203 106 61
"121" 3 0 -41.4166666666667 -21.9166666666667 234 93 58
"122" 3 0 -45.9166666666667 -22.9166666666667 170 110 62
"123" 1 0 -44.25 -21.5833333333333 189 119 65
"124" 3 0 -44.0833333333333 -20.75 199 121 65
"125" 3 0 -49.4166666666667 -20.5833333333333 230 128 68
"126" 2 0 -48.4166666666667 -20.9166666666667 223 122 68
"127" 3 0 -42.5833333333333 -22.75 225 84 57
"128" 3 0 -49.0833333333333 -19.5833333333333 234 131 69
"129" 3 0 -44.9166666666667 -22.4166666666667 161 128 64
"130" 2 0 -48.0833333333333 -21.25 219 123 67
"131" 1 0 -50.25 -20.75 226 127 66
"132" 1 0 -42.5833333333333 -22.0833333333333 194 110 60
"133" 2 0 -45.5833333333333 -22.4166666666667 192 128 64
"134" 3 0 -42.4166666666667 -22.0833333333333 199 109 60
"135" 1 0 -49.75 -22.25 203 127 64
"136" 1 0 -50.5833333333333 -21.75 218 127 64
"137" 1 0 -45.75 -21.75 202 132 66
"138" 1 0 -43.5833333333333 -23.0833333333333 232 88 57
"139" 1 0 -49.5833333333333 -21.25 225 127 66
"140" 3 0 -50.0833333333333 -19.75 238 128 68
"141" 3 0 -47.9166666666667 -21.0833333333333 219 122 67
"142" 2 0 -50.4166666666667 -21.4166666666667 218 127 64
"143" 3 0 -42.75 -21.9166666666667 220 120 62
"144" 2 0 -48.5833333333333 -21.5833333333333 217 122 66
"145" 1 0 -41.25 -22.0833333333333 231 85 57
"146" 3 0 -42.4166666666667 -20.75 183 128 65
"147" 1 0 -41.75 -21.25 232 110 62
"148" 1 0 -48.25 -19.9166666666667 231 126 70
"149" 2 0 -49.75 -22.0833333333333 209 127 64
"150" 1 0 -48.5833333333333 -19.75 231 129 70
"151" 2 0 -47.9166666666667 -20.5833333333333 219 113 67
"152" 2 0 -44.75 -22.9166666666667 158 118 62
"153" 3 0 -44.25 -22.5833333333333 206 115 61
"154" 3 0 -49.9166666666667 -20.9166666666667 226 128 67
"155" 1 0 -44.5833333333333 -21.0833333333333 197 124 68
"156" 1 0 -45.0833333333333 -23.25 157 109 60
"157" 1 0 -42.75 -22.4166666666667 197 99 59
"158" 2 0 -50.0833333333333 -21.75 215 127 64
"159" 3 0 -45.9166666666667 -21.4166666666667 204 130 65
"160" 3 0 -42.25 -21.5833333333333 226 121 61
"161" 1 0 -46.0833333333333 -22.4166666666667 175 120 65
"162" 3 0 -42.75 -21.75 214 121 62
"163" 1 0 -42.4166666666667 -21.9166666666667 210 116 62
"164" 1 0 -49.75 -20.75 227 128 68
"165" 2 0 -45.25 -21.25 202 127 66
"166" 2 0 -49.0833333333333 -21.0833333333333 225 125 69
"167" 3 0 -49.25 -20.5833333333333 230 128 68
