"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"471" 3 0 -44.9166666666667 -5.08333333333333 267 107 74
"481" 1 0 -60.5833333333333 -13.0833333333333 221 129 70
"491" 1 0 -49.4166666666667 -23.75 204 119 61
"50" 2 0 -63.9166666666667 -12.5833333333333 258 123 72
"511" 2 0 -39.4166666666667 -9.58333333333333 232 116 70
"521" 1 0 -50.25 -26.5833333333333 169 119 55
"531" 3 0 -43.25 -18.5833333333333 205 122 64
"54" 2 0 -70.75 -10.25 250 114 75
"551" 1 0 -66.75 -3.08333333333333 257 92 84
"561" 2 0 -36.9166666666667 -9.25 237 94 67
"57" 2 0 -46.0833333333333 -16.9166666666667 231 132 71
"58" 1 0 -55.0833333333333 -5.41666666666667 257 108 76
"591" 2 0 -72.4166666666667 -11.5833333333333 254 119 79
"601" 3 0 -40.0833333333333 -6.58333333333333 249 102 75
"611" 3 0 -48.25 -24.4166666666667 207 99 52
"621" 2 0 -64.9166666666667 -17.5833333333333 151 149 70
"631" 1 0 -64.0833333333333 -11.0833333333333 257 116 74
"641" 1 0 -60.9166666666667 -14.75 243 135 69
"651" 1 0 -66.5833333333333 -6.75 261 101 80
"661" 3 0 -71.0833333333333 -5.75 257 101 82
"671" 2 0 -60.9166666666667 -11.5833333333333 233 129 69
"68" 2 0 -43.75 -12.9166666666667 252 135 74
"691" 3 0 -69.25 -18.0833333333333 24 185 73
"701" 1 0 -59.9166666666667 -16.0833333333333 245 133 68
"71" 1 0 -67.4166666666667 -1.75 257 90 86
"72" 1 0 -75.4166666666667 -7.58333333333333 267 121 83
"731" 3 0 -56.9166666666667 -22.25 239 115 59
"741" 2 0 -61.75 -5.41666666666667 265 90 80
"751" 3 0 -67.4166666666667 -6.41666666666667 258 101 81
"761" 2 0 -53.25 -24.4166666666667 205 124 59
"77" 3 0 -62.25 -9.75 251 117 69
"781" 1 0 -43.25 -8.41666666666667 259 132 79
"791" 2 0 -62.0833333333333 -5.75 264 92 80
"801" 3 0 -67.25 -17.4166666666667 64 178 70
"811" 2 0 -57.75 -30.4166666666667 195 116 47
"821" 2 0 -36.25 -9.75 241 78 67
"831" 3 0 -72.25 -8.75 255 107 76
"841" 1 0 -43.4166666666667 -3.41666666666667 270 96 77
"851" 1 0 -52.4166666666667 -30.9166666666667 187 95 48
"861" 2 0 -65.25 -15.9166666666667 254 111 62
"87" 3 0 -72.75 -7.75 253 100 74
"88" 3 0 -56.9166666666667 -13.75 250 136 74
"89" 3 0 -50.5833333333333 -13.75 262 116 71
"901" 1 0 -52.25 -10.4166666666667 260 136 72
"91" 1 0 -41.25 -3.91666666666667 255 116 78
"921" 3 0 -75.5833333333333 -10.0833333333333 196 140 82
"93" 1 0 -54.9166666666667 -11.5833333333333 251 145 69
"94" 3 0 -56.25 -29.25 199 118 49
"95" 1 0 -46.4166666666667 -16.25 218 128 71
"96" 2 0 -57.75 -25.5833333333333 228 118 53
"97" 3 0 -68.0833333333333 -5.08333333333333 257 96 83
"98" 3 0 -60.75 -14.25 217 136 71
"99" 3 0 -72.0833333333333 -4.91666666666667 259 98 83
"100" 1 0 -65.9166666666667 -9.91666666666667 263 108 74
"101" 3 0 -74.0833333333333 -8.41666666666667 263 109 77
"102" 3 0 -57.4166666666667 -9.58333333333333 255 129 67
"103" 3 0 -58.0833333333333 -22.0833333333333 249 114 57
"104" 2 0 -55.4166666666667 -16.4166666666667 255 121 65
"105" 2 0 -64.9166666666667 -18.0833333333333 187 139 65
"106" 1 0 -40.0833333333333 -3.08333333333333 275 109 80
"107" 3 0 -67.25 -1.91666666666667 257 90 85
"108" 2 0 -49.4166666666667 -11.25 270 120 71
"109" 3 0 -52.25 -4.25 246 100 81
"110" 3 0 -42.25 -17.75 205 120 67
"111" 1 0 -60.9166666666667 -9.91666666666667 248 122 68
"112" 3 0 -61.4166666666667 -11.0833333333333 238 130 69
"113" 3 0 -50.75 -3.25 265 98 83
"114" 2 0 -62.0833333333333 -5.58333333333333 264 92 80
"115" 3 0 -55.9166666666667 -8.08333333333333 254 128 68
"116" 3 0 -51.4166666666667 -29.9166666666667 196 94 48
"117" 3 0 -71.9166666666667 -3.91666666666667 259 95 84
"118" 2 0 -51.75 -7.58333333333333 247 131 77
"119" 1 0 -51.75 -28.0833333333333 175 106 55
"120" 1 0 -55.25 -31.4166666666667 181 120 49
"121" 2 0 -47.9166666666667 -19.25 209 119 69
"122" 3 0 -49.9166666666667 -20.9166666666667 226 128 67
"123" 1 0 -38.4166666666667 -12.5833333333333 246 79 66
"124" 1 0 -44.9166666666667 -15.9166666666667 236 155 68
"125" 1 0 -57.4166666666667 -17.5833333333333 262 118 66
"126" 1 0 -75.75 -9.08333333333333 226 134 85
"127" 1 0 -50.5833333333333 -12.75 269 119 72
"128" 3 0 -75.25 -9.08333333333333 258 118 83
"129" 3 0 -45.5833333333333 -4.25 270 102 80
"130" 2 0 -52.0833333333333 -29.25 186 99 51
"131" 3 0 -72.9166666666667 -10.25 258 114 78
"132" 2 0 -38.25 -7.91666666666667 231 100 68
"133" 1 0 -42.25 -22.5833333333333 231 82 58
"134" 3 0 -50.0833333333333 -22.5833333333333 208 127 64
"135" 1 0 -40.0833333333333 -17.25 243 94 68
"136" 1 0 -71.9166666666667 -13.75 104 161 73
"137" 2 0 -65.4166666666667 -12.75 265 120 71
"138" 1 0 -41.25 -16.4166666666667 230 115 66
"139" 2 0 -71.5833333333333 -9.25 255 110 77
"140" 2 0 -39.4166666666667 -9.25 238 116 72
"141" 3 0 -55.5833333333333 -16.9166666666667 259 120 65
"142" 3 0 -65.75 -10.0833333333333 264 108 73
"143" 1 0 -76.25 -11.0833333333333 45 136 78
"144" 1 0 -59.9166666666667 -10.0833333333333 245 124 68
"145" 1 0 -74.9166666666667 -5.58333333333333 269 105 84
"146" 2 0 -52.75 -31.9166666666667 180 103 48
"147" 3 0 -53.75 -19.4166666666667 236 119 69
"148" 3 0 -61.9166666666667 -4.91666666666667 265 89 83
"149" 1 0 -55.25 -15.75 224 125 67
"150" 3 0 -71.9166666666667 -8.58333333333333 254 106 76
"151" 1 0 -47.0833333333333 -13.0833333333333 256 113 70
"152" 1 0 -52.75 -29.75 196 98 49
"153" 2 0 -54.75 -6.08333333333333 255 114 75
"154" 2 0 -57.4166666666667 -24.5833333333333 230 109 54
"155" 3 0 -67.4166666666667 -5.75 259 97 82
"156" 1 0 -47.4166666666667 -10.75 259 126 70
"157" 2 0 -58.0833333333333 -27.0833333333333 221 107 49
"158" 2 0 -72.25 -5.58333333333333 259 100 82
"159" 3 0 -68.5833333333333 -15.75 65 134 69
"160" 3 0 -58.75 -15.5833333333333 251 131 70
"161" 2 0 -47.4166666666667 -9.75 262 124 72
"162" 2 0 -55.0833333333333 -27.0833333333333 202 124 56
"163" 1 0 -48.4166666666667 -27.9166666666667 200 64 43
"164" 3 0 -58.0833333333333 -24.0833333333333 234 122 56
"165" 1 0 -54.9166666666667 -8.08333333333333 254 132 70
"166" 1 0 -53.25 -12.0833333333333 250 148 66
"167" 2 0 -51.9166666666667 -26.9166666666667 160 123 58
"168" 3 0 -62.25 -15.4166666666667 245 130 69
"169" 2 0 -40.0833333333333 -10.9166666666667 240 108 71
"170" 2 0 -41.4166666666667 -17.9166666666667 228 117 67
"171" 1 0 -51.25 -5.25 253 108 83
"172" 2 0 -47.5833333333333 -4.41666666666667 262 109 80
"173" 3 0 -53.75 -7.91666666666667 250 132 72
"174" 1 0 -42.75 -21.4166666666667 230 119 63
"175" 3 0 -56.0833333333333 -9.41666666666667 253 136 68
"176" 1 0 -57.5833333333333 -21.9166666666667 246 113 57
"177" 1 0 -46.0833333333333 -23.9166666666667 220 72 51
"178" 2 0 -48.4166666666667 -5.91666666666667 261 109 77
"179" 3 0 -39.25 -17.4166666666667 245 77 64
"180" 3 0 -55.9166666666667 -6.25 259 112 71
"181" 1 0 -71.4166666666667 -2.91666666666667 260 92 85
"182" 1 0 -70.5833333333333 -7.58333333333333 257 107 82
"183" 1 0 -44.0833333333333 -4.58333333333333 273 106 75
"184" 3 0 -55.9166666666667 -20.5833333333333 241 121 64
"185" 2 0 -39.25 -15.5833333333333 239 75 66
"186" 2 0 -46.4166666666667 -19.75 196 123 67
"187" 2 0 -44.75 -15.9166666666667 234 152 68
"188" 3 0 -61.25 -15.0833333333333 241 137 69
"189" 3 0 -54.0833333333333 -7.91666666666667 248 132 72
"190" 1 0 -59.5833333333333 -16.4166666666667 249 127 67
"191" 2 0 -46.0833333333333 -20.4166666666667 207 133 65
"192" 2 0 -54.5833333333333 -12.0833333333333 249 146 69
"193" 2 0 -49.9166666666667 -7.41666666666667 255 122 77
"194" 3 0 -50.25 -4.08333333333333 268 103 85
"195" 2 0 -53.0833333333333 -29.9166666666667 196 99 49
"196" 3 0 -48.9166666666667 -14.5833333333333 250 102 68
"197" 1 0 -59.5833333333333 -11.0833333333333 236 129 68
"198" 1 0 -52.9166666666667 -3.41666666666667 256 95 81
"199" 1 0 -49.5833333333333 -12.0833333333333 269 118 71
"200" 2 0 -62.75 -9.58333333333333 254 112 70
"201" 2 0 -54.0833333333333 -26.4166666666667 187 134 57
"202" 3 0 -43.0833333333333 -16.5833333333333 210 127 70
"203" 3 0 -57.9166666666667 -17.0833333333333 261 121 66
"204" 2 0 -56.9166666666667 -28.4166666666667 212 119 50
"205" 3 0 -48.25 -10.0833333333333 254 121 72
"206" 2 0 -43.25 -20.4166666666667 208 116 61
"207" 1 0 -43.75 -21.5833333333333 195 106 62
"208" 1 0 -38.5833333333333 -6.91666666666667 259 105 74
"209" 3 0 -42.75 -12.9166666666667 225 130 73
"210" 2 0 -59.9166666666667 -8.75 256 115 67
"211" 2 0 -40.9166666666667 -6.25 229 102 75
"212" 3 0 -53.75 -10.0833333333333 252 144 69
"213" 3 0 -50.9166666666667 -3.91666666666667 259 99 82
"214" 2 0 -44.75 -8.75 254 122 73
"215" 3 0 -68.0833333333333 -3.58333333333333 255 92 85
"216" 3 0 -58.75 -17.4166666666667 258 122 68
"217" 2 0 -63.5833333333333 -16.25 252 112 65
"218" 2 0 -55.75 -23.0833333333333 226 118 59
"219" 1 0 -72.75 -8.08333333333333 256 102 75
"220" 3 0 -43.9166666666667 -6.41666666666667 264 109 72
"221" 3 0 -65.4166666666667 -8.25 262 104 77
"222" 1 0 -66.25 -8.91666666666667 261 107 76
"223" 2 0 -63.75 -9.08333333333333 259 104 72
"224" 1 0 -75.4166666666667 -6.91666666666667 264 121 83
"225" 2 0 -43.25 -19.9166666666667 202 115 62
"226" 2 0 -74.25 -9.91666666666667 253 117 81
"227" 1 0 -59.0833333333333 -19.4166666666667 242 132 66
"228" 3 0 -54.5833333333333 -19.9166666666667 244 116 69
"229" 1 0 -70.0833333333333 -16.4166666666667 38 153 72
"230" 3 0 -53.9166666666667 -32.25 171 116 50
"231" 3 0 -37.9166666666667 -10.9166666666667 224 92 68
"232" 3 0 -56.75 -22.0833333333333 238 116 60
"233" 1 0 -55.25 -18.5833333333333 259 121 65
