"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.06808182,0.06808182,-1e-04,0.18171818,0.06808182,0.06808182,0.873333333333333,0.707142857142857,"bioclim",1,1
"2",0.53053241,0.53053241,0.26966285,0.17750943,0.49905825,0.44357589,0.908809523809524,0.767142857142857,"domain",1,1
"3",0.27262727,0.06808182,-1e-04,0.18171818,0.09080909,0.09080909,0.927380952380952,0.784761904761905,"bioclim",1,2
"4",0.64983687,0.64983687,0.35072645,0.16890826,0.64080909,0.66560248,0.956666666666667,0.922380952380952,"domain",1,2
"5",0.16656667,0.16656667,-1e-04,0.19037619,0.11894762,0.11894762,0.918913043478261,0.756086956521739,"bioclim",1,3
"6",0.59471293,0.59471293,0.41674435,0.18751905,0.59471293,0.61432786,0.93804347826087,0.82304347826087,"domain",1,3
