"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"471" 3 0 -63.9166666666667 -10.25 255 112 74
"481" 1 0 -67.9166666666667 -5.58333333333333 257 98 83
"491" 1 0 -52.25 -22.5833333333333 223 126 64
"50" 2 0 -55.25 -30.4166666666667 185 117 50
"511" 2 0 -62.4166666666667 -9.75 251 116 69
"521" 1 0 -42.25 -18.0833333333333 228 123 67
"531" 3 0 -70.5833333333333 -1.91666666666666 258 89 86
"54" 2 0 -54.75 -8.58333333333333 252 137 69
"551" 1 0 -68.9166666666667 -14.4166666666667 164 114 73
"561" 2 0 -68.9166666666667 -5.08333333333333 257 99 84
"57" 2 0 -58.0833333333333 -23.4166666666667 240 125 57
"58" 1 0 -69.0833333333333 -2.08333333333333 255 89 87
"591" 2 0 -53.75 -5.08333333333333 253 107 79
"601" 3 0 -60.4166666666667 -18.75 245 131 66
"611" 3 0 -43.9166666666667 -22.75 207 114 60
"621" 2 0 -56.5833333333333 -29.25 202 117 48
"631" 1 0 -75.0833333333333 -8.08333333333333 263 118 81
"641" 1 0 -51.25 -12.0833333333333 269 124 73
"651" 1 0 -66.75 -6.41666666666666 260 99 81
"661" 3 0 -56.75 -22.5833333333333 236 116 59
"671" 2 0 -39.9166666666667 -7.08333333333333 241 103 74
"68" 2 0 -45.5833333333333 -6.91666666666666 259 118 72
"691" 3 0 -60.9166666666667 -8.91666666666666 254 114 68
"701" 1 0 -56.0833333333333 -20.5833333333333 241 120 64
"71" 1 0 -71.0833333333333 -4.75 258 99 84
"72" 1 0 -51.9166666666667 -18.9166666666667 237 121 72
"731" 3 0 -51.75 -21.0833333333333 237 121 65
"741" 2 0 -63.75 -14.75 256 119 68
"751" 3 0 -57.5833333333333 -11.0833333333333 250 134 70
"761" 2 0 -72.9166666666667 -15.9166666666667 161 150 81
"77" 3 0 -54.4166666666667 -24.5833333333333 210 127 57
"781" 1 0 -73.75 -6.41666666666666 264 105 80
"791" 2 0 -58.25 -15.4166666666667 253 130 70
"801" 3 0 -67.5833333333333 -6.25 258 101 82
"811" 2 0 -51.0833333333333 -27.9166666666667 166 107 54
"821" 2 0 -50.75 -30.9166666666667 186 81 44
"831" 3 0 -56.5833333333333 -6.08333333333333 263 108 70
"841" 1 0 -44.4166666666667 -17.0833333333333 219 134 69
"851" 1 0 -44.75 -5.08333333333333 269 107 73
"861" 2 0 -65.5833333333333 -10.0833333333333 264 108 74
"87" 3 0 -48.0833333333333 -25.0833333333333 223 85 49
"88" 3 0 -41.4166666666667 -16.9166666666667 215 119 68
"89" 3 0 -36.0833333333333 -9.91666666666666 245 73 68
"901" 1 0 -64.5833333333333 -2.25 265 92 87
"91" 1 0 -67.25 -15.4166666666667 232 109 68
"921" 3 0 -69.0833333333333 -13.4166666666667 249 103 74
"93" 1 0 -51.5833333333333 -19.5833333333333 236 125 70
"94" 3 0 -54.75 -15.9166666666667 239 127 65
"95" 1 0 -44.0833333333333 -9.25 254 126 75
"96" 2 0 -54.4166666666667 -20.5833333333333 232 113 70
"97" 3 0 -58.4166666666667 -10.4166666666667 249 129 68
"98" 3 0 -35.4166666666667 -6.91666666666666 254 99 73
"99" 3 0 -51.75 -14.4166666666667 258 128 71
"100" 1 0 -73.5833333333333 -11.5833333333333 193 147 79
"101" 3 0 -42.9166666666667 -5.58333333333333 270 114 70
"102" 3 0 -55.5833333333333 -5.91666666666666 257 110 73
"103" 3 0 -40.5833333333333 -14.5833333333333 200 95 67
"104" 2 0 -41.9166666666667 -18.75 237 117 65
"105" 2 0 -51.5833333333333 -12.25 262 128 72
"106" 1 0 -65.25 -9.75 264 106 74
"107" 3 0 -61.5833333333333 -8.58333333333333 256 109 68
"108" 2 0 -71.25 -14.0833333333333 41 182 69
"109" 3 0 -63.0833333333333 -7.91666666666666 263 103 71
"110" 3 0 -63.5833333333333 -14.75 255 120 68
"111" 1 0 -44.4166666666667 -22.4166666666667 212 118 62
"112" 3 0 -41.25 -5.25 250 112 74
