"","key","value"
"1","Bioclim","bioclim"
"2","BRT","brt"
"3","Domain","domain"
"4","GLM","glm"
"5","Mahalanobis","mahal"
"6","Maxent","maxent"
"7","RandomForest","rf"
"8","SVM (e1071)","svme"
"9","SVM (kernlab)","svmk"
