"","key","value"
"1","raw_mean","raw_mean"
"2","raw_mean_th","raw_mean_th"
"3","raw_mean_cut","raw_mean_cut"
"4","bin_mean","bin_mean"
"5","bin_consensus","bin_consensus"
"6","cut_mean","cut_mean"
