"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.06808182,0.06808182,-1e-04,0.18171818,0.06808182,0.06808182,0.890238095238095,0.747142857142857,"bioclim",1,1
"2",0.53053241,0.53053241,0.26966285,0.18270632,0.48222323,0.4485532,0.916190476190476,0.757142857142857,"domain",1,1
"3",0.50460791,0.36531667,-1e-04,0.17307381,0.08927619,0.10005238,0.914285714285714,0.817142857142857,"rf",1,1
"4",0.2499,0.06808182,-1e-04,0.18171818,0.13626364,0.09080909,0.914285714285714,0.724761904761905,"bioclim",1,2
"5",0.64983687,0.64983687,0.35072645,0.16890826,0.64983687,0.66134201,0.936904761904762,0.872380952380952,"domain",1,2
"6",0.71111667,0.35095714,0.1614,0.17510303,0.36829048,0.44384444,0.98,0.872380952380952,"rf",1,2
"7",0.16656667,0.16656667,-1e-04,0.16656667,0.0951381,0.04751905,0.890217391304348,0.712608695652174,"bioclim",1,3
"8",0.60054862,0.60054862,0.00349631,0.1959034,0.53080582,0.51654901,0.904347826086957,0.746086956521739,"domain",1,3
"9",0.76213333,0.46394762,0.0013,0.1950184,0.3423,0.46508889,0.931739130434783,0.863043478260869,"rf",1,3
