"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.06808182,0.06808182,-1e-04,0.18171818,0.06808182,0.06808182,0.884285714285714,0.727142857142857,"bioclim",1,1
"2",0.53053241,0.53053241,0.26966285,0.17750943,0.51589327,0.44357589,0.91,0.737142857142857,"domain",1,1
"3",0.27262727,0.06808182,-1e-04,0.18171818,0.11353636,0.11353636,0.929761904761905,0.764761904761905,"bioclim",1,2
"4",0.64983687,0.64983687,0.35072645,0.16890826,0.64080909,0.66134201,0.967142857142857,0.922380952380952,"domain",1,2
"5",0.16656667,0.16656667,-1e-04,0.19037619,0.11894762,0.11894762,0.924565217391304,0.796086956521739,"bioclim",1,3
"6",0.64847143,0.59471293,0.41674435,0.18751905,0.59471293,0.61001905,0.952173913043478,0.81304347826087,"domain",1,3
