"group.all" "pa" "lon" "lat" "bio1" "bio2"
"1" 2 1 -49.0791667 -26.9055556 200 92
"2" 3 1 -67.705 -10.0247223 261 106
"3" 3 1 -39.5844444 -15.7388889 230 82
"4" 3 1 -39.6591667 -15.565 236 80
"5" 2 1 -38.9666667 -12.25 232 78
"6" 2 1 -39.6291667 -15.5641667 236 80
"7" 3 1 -43.1038889 -22.9508333 231 82
"8" 3 1 -51.7172223 -17.9230556 235 119
"9" 3 1 -51.7172223 -17.9230556 235 119
"10" 3 1 -39.5533333 -14.2125 236 68
"11" 1 1 -42.8425 -22.8969444 230 83
"12" 1 1 -39.6525 -15.5722223 236 80
"13" 1 1 -41.2911111 -21.7619444 234 92
"14" 1 1 -41.2911111 -21.7619444 234 92
"15" 2 1 -41.2911111 -21.7619444 234 92
"16" 1 1 -41.2911111 -21.7619444 234 92
"17" 2 1 -41.2911111 -21.7619444 234 92
"18" 2 1 -38.1016667 -4.8380555 272 100
"19" 1 1 -47.8777778 -15.9463889 208 114
"20" 2 1 -42.8422222 -22.8966666 230 83
"21" 3 1 -36.2986111 -10.0266667 244 79
"22" 2 1 -36.4938889 -10.3280556 249 83
"23" 2 1 -35.2394444 -5.8369444 257 89
"25" 3 1 -35.3527778 -6.3291667 254 95
"26" 1 1 -35.3527778 -6.3291667 254 95
"27" 3 1 -35.3527778 -6.3291667 254 95
"28" 2 1 -35.1941666 -5.8419444 257 89
"29" 1 1 -35.2991666 -5.4694445 260 83
"30" 1 1 -35.135 -5.8491666 258 84
"31" 3 1 -35.2008333 -5.8425 257 89
"32" 1 1 -38.1016667 -4.8380555 272 100
"33" 2 1 -47.8777778 -15.9463889 208 114
"34" 3 1 -39.5844444 -15.7388889 230 82
"35" 3 1 -42.9888889 -22.8263889 232 87
"36" 1 1 -36.2736111 -10.0477777 244 79
"37" 1 1 -40.1511111 -19.6752778 245 87
"38" 2 1 -39.5522222 -14.2138889 236 68
"39" 3 1 -42.8425 -22.8969444 230 83
"40" 3 1 -43.1613889 -22.9638889 231 82
"41" 1 1 -38.0161111 -12.5736111 246 75
"42" 2 1 -40.68 -15.0605556 214 97
"43" 3 1 -40.68 -15.0605556 214 97
"44" 1 1 -40.2616667 -19.6783334 244 91
"45" 1 1 -36.2986111 -10.0266667 244 79
"46" 2 1 -40.68 -15.0605556 214 97
"47" 1 1 -40.1472222 -19.0569444 240 94
"48" 2 1 -40.15 -19.6766667 245 87
"49" 3 1 -40.2794445 -19.7244445 244 91
"50" 1 1 -40.68 -15.0605556 214 97
"51" 2 1 -39.5672223 -15.7127778 230 82
"52" 2 1 -39.4838889 -14.2730556 238 66
"53" 3 1 -41.9605556 -22.8063889 229 68
"54" 1 1 -40.1511111 -19.6752778 245 87
"55" 3 1 -40.2780556 -19.7291667 244 91
"56" 2 1 -43.1627778 -22.9638889 231 82
"57" 2 1 -36.2986111 -10.0266667 244 79
"58" 1 1 -39.6525 -15.5722223 236 80
"59" 2 1 -43.0777778 -22.9180556 231 82
"60" 3 1 -40.6780556 -15.0619444 214 97
"61" 2 1 -43.1155556 -22.9402777 231 82
"62" 1 1 -43.1166667 -22.9441666 231 82
"63" 3 1 -42.5938889 -22.7516667 225 84
"64" 3 1 -39.5525 -14.2133333 236 68
"65" 1 1 -39.5794445 -16.9683334 244 87
"66" 1 1 -42.4611111 -22.9286111 230 74
"67" 3 1 -41.9827778 -22.8047222 229 68
"68" 2 1 -40.2780556 -19.7291667 244 91
"69" 3 1 -35.2 -5.8166667 258 87
"70" 2 1 -42.4613889 -22.9291667 230 74
"71" 1 1 -40.1511111 -19.6752778 245 87
"72" 2 1 -39.5844444 -15.7388889 230 82
"73" 2 1 -39.7333333 -14.5666667 229 74
"74" 1 1 -43.1861111 -22.9647222 224 82
"75" 2 1 -41.9666667 -22.7166667 229 68
"76" 1 1 -34.9502778 -8.0127778 256 64
"77" 1 1 -39.7333333 -14.5666667 229 74
"78" 3 1 -50.8666667 -11.7833333 275 120
"79" 2 1 -39.5777778 -15.6986111 230 82
"80" 2 1 -39.25 -17.65 244 75
"81" 1 1 -39.2022222 -16.4191667 241 78
"82" 1 1 -36.2666667 -10.0333333 244 79
"83" 3 1 -43.1630556 -22.9633333 231 82
"84" 3 1 -47.8777778 -15.9472222 208 114
"85" 3 1 -43.0875 -22.9444444 231 82
"86" 3 1 -39.5433333 -15.1636111 235 75
"87" 2 1 -39.2022222 -16.4191667 241 78
"88" 1 1 -43.1861111 -22.9647222 224 82
"89" 2 1 -39.7333333 -14.5666667 229 74
"90" 1 1 -35.135 -6.9602778 253 87
"91" 2 1 -39.7333333 -14.5666667 229 74
"92" 3 1 -39.7333333 -14.65 229 74
"1100" 1 0 -55.4166666666667 -7.41666666666667 257 124
"2100" 3 0 -53.25 -6.08333333333333 248 118
"310" 1 0 -40.75 -16.0833333333333 237 108
"410" 3 0 -68.4166666666667 -13.9166666666667 236 102
"510" 1 0 -51.4166666666667 -11.4166666666667 271 125
"610" 3 0 -57.0833333333333 -26.75 219 114
"710" 2 0 -73.4166666666667 -11.75 224 139
"810" 1 0 -58.0833333333333 -8.41666666666667 260 119
"910" 2 0 -59.5833333333333 -21.0833333333333 252 127
"1010" 2 0 -49.5833333333333 -10.75 271 120
"1110" 1 0 -71.0833333333333 -12.9166666666667 230 110
"1210" 1 0 -44.0833333333333 -20.0833333333333 203 129
"1310" 1 0 -58.9166666666667 -17.5833333333333 256 122
"1410" 2 0 -52.5833333333333 -30.25 192 95
"1510" 2 0 -51.25 -10.0833333333333 264 129
"1610" 3 0 -54.5833333333333 -18.4166666666667 254 123
"1710" 2 0 -58.4166666666667 -18.9166666666667 255 127
"1810" 2 0 -63.0833333333333 -14.25 252 124
"1910" 1 0 -61.75 -8.41666666666667 259 108
"2010" 2 0 -63.4166666666667 -15.5833333333333 255 117
"2110" 3 0 -38.0833333333333 -6.58333333333333 257 105
"2210" 3 0 -35.75 -8.08333333333333 231 89
"2310" 2 0 -51.9166666666667 -31.0833333333333 187 90
"24" 1 0 -38.9166666666667 -4.75 266 105
"2510" 3 0 -46.5833333333333 -21.0833333333333 190 118
"2610" 2 0 -52.25 -25.9166666666667 171 130
"2710" 1 0 -70.5833333333333 -6.08333333333333 257 103
"2810" 2 0 -52.9166666666667 -5.75 247 115
"2910" 3 0 -44.25 -12.9166666666667 231 135
"301" 1 0 -47.4166666666667 -23.5833333333333 182 105
"311" 2 0 -51.0833333333333 -7.25 250 126
"321" 2 0 -54.75 -6.75 256 120
"331" 3 0 -65.25 -15.9166666666667 254 111
"341" 2 0 -75.25 -12.75 32 144
"351" 3 0 -58.0833333333333 -19.25 257 123
"361" 1 0 -71.5833333333333 -5.91666666666667 258 101
"371" 2 0 -53.9166666666667 -19.4166666666667 239 119
"381" 3 0 -52.5833333333333 -23.75 206 120
"391" 1 0 -41.9166666666667 -17.0833333333333 218 128
"401" 2 0 -69.9166666666667 -8.25 255 113
"411" 2 0 -70.4166666666667 -3.08333333333333 258 92
"421" 1 0 -54.5833333333333 -6.41666666666667 254 118
"431" 2 0 -70.75 -6.58333333333333 256 104
"441" 1 0 -48.75 -23.5833333333333 199 118
"451" 1 0 -65.75 -5.91666666666667 262 95
"461" 1 0 -60.0833333333333 -10.0833333333333 247 124
"471" 3 0 -51.9166666666667 -13.75 256 131
"481" 1 0 -42.5833333333333 -19.75 234 120
"491" 1 0 -56.5833333333333 -15.9166666666667 257 116
"501" 2 0 -56.0833333333333 -6.75 259 115
"511" 2 0 -54.9166666666667 -25.4166666666667 212 117
"521" 1 0 -44.4166666666667 -4.08333333333333 273 101
"531" 3 0 -63.5833333333333 -14.5833333333333 255 120
"541" 2 0 -38.9166666666667 -5.58333333333333 273 99
"551" 1 0 -64.5833333333333 -9.08333333333333 261 105
"561" 2 0 -57.0833333333333 -17.25 262 118
"571" 2 0 -42.9166666666667 -14.75 240 115
"581" 1 0 -45.25 -16.9166666666667 233 142
"591" 2 0 -36.9166666666667 -6.75 259 93
"601" 3 0 -38.9166666666667 -3.58333333333333 263 77
"611" 3 0 -51.9166666666667 -5.25 249 110
"621" 2 0 -50.25 -22.0833333333333 210 127
"631" 1 0 -68.9166666666667 -8.41666666666667 249 120
"641" 1 0 -67.75 -13.5833333333333 258 110
"651" 1 0 -67.25 -5.75 259 96
"661" 3 0 -56.75 -10.5833333333333 252 136
"671" 2 0 -51.25 -15.4166666666667 259 117
"681" 2 0 -48.9166666666667 -20.4166666666667 235 129
"691" 3 0 -62.75 -7.08333333333333 264 101
"701" 1 0 -52.0833333333333 -19.9166666666667 242 123
"711" 1 0 -63.25 -6.41666666666667 264 97
"721" 1 0 -52.75 -11.75 254 142
"731" 3 0 -39.4166666666667 -16.9166666666667 243 83
"741" 2 0 -65.0833333333333 -14.25 258 117
"751" 3 0 -49.4166666666667 -3.91666666666667 271 104
"761" 2 0 -70.4166666666667 -9.91666666666667 251 114
"771" 3 0 -67.75 -15.5833333333333 229 105
"781" 1 0 -51.5833333333333 -27.9166666666667 170 107
"791" 2 0 -41.0833333333333 -15.75 210 102
"801" 3 0 -40.5833333333333 -5.25 259 106
"811" 2 0 -40.5833333333333 -7.25 240 107
"821" 2 0 -47.9166666666667 -7.41666666666667 261 113
"831" 3 0 -65.5833333333333 -9.25 261 106
"841" 1 0 -48.5833333333333 -25.25 211 84
"851" 1 0 -50.75 -7.08333333333333 242 123
"861" 2 0 -40.5833333333333 -12.75 230 94
"871" 3 0 -70.0833333333333 -6.75 258 106
"881" 3 0 -51.75 -19.5833333333333 230 124
"891" 3 0 -49.9166666666667 -23.75 200 120
"901" 1 0 -71.5833333333333 -9.25 255 110
"911" 1 0 -47.0833333333333 -18.0833333333333 225 114
"921" 3 0 -44.4166666666667 -3.41666666666667 272 94
"93" 1 0 -48.4166666666667 -10.75 261 124
"94" 3 0 -45.75 -6.58333333333333 250 119
"95" 1 0 -56.9166666666667 -22.4166666666667 236 116
"96" 2 0 -49.0833333333333 -10.4166666666667 266 120
"97" 3 0 -51.0833333333333 -9.25 256 130
"98" 3 0 -63.25 -14.4166666666667 252 123
"99" 3 0 -49.9166666666667 -13.4166666666667 265 113
"100" 1 0 -72.4166666666667 -10.0833333333333 257 113
"101" 3 0 -60.25 -9.75 249 122
"102" 3 0 -65.0833333333333 -14.4166666666667 257 116
"103" 3 0 -72.9166666666667 -11.9166666666667 254 122
"104" 2 0 -56.0833333333333 -5.91666666666667 261 108
"105" 2 0 -55.9166666666667 -7.75 254 125
"106" 1 0 -48.9166666666667 -5.08333333333333 267 101
"107" 3 0 -53.9166666666667 -4.58333333333333 253 103
"108" 2 0 -46.25 -6.58333333333333 250 122
"109" 3 0 -45.4166666666667 -4.75 265 106
"110" 3 0 -71.25 -17.0833333333333 164 148
"111" 1 0 -72.4166666666667 -5.91666666666667 259 100
"112" 3 0 -63.9166666666667 -10.25 255 112
"113" 3 0 -50.75 -31.0833333333333 185 80
"114" 2 0 -61.9166666666667 -11.4166666666667 241 131
"115" 3 0 -52.0833333333333 -29.75 196 96
"116" 3 0 -49.5833333333333 -18.25 245 126
"117" 3 0 -68.75 -18.0833333333333 58 184
"118" 2 0 -38.0833333333333 -10.25 240 93
"119" 1 0 -69.25 -14.25 173 114
"120" 1 0 -62.25 -10.0833333333333 249 120
"121" 2 0 -45.75 -11.75 238 131
"122" 3 0 -64.5833333333333 -12.5833333333333 262 121
"123" 1 0 -41.5833333333333 -15.9166666666667 210 111
"124" 1 0 -61.4166666666667 -11.5833333333333 237 130
"125" 1 0 -50.9166666666667 -29.4166666666667 168 94
"126" 1 0 -50.4166666666667 -9.08333333333333 261 128
"127" 1 0 -44.75 -16.75 225 144
"128" 3 0 -42.9166666666667 -15.75 224 125
"129" 3 0 -49.75 -15.75 238 99
"130" 2 0 -39.9166666666667 -17.0833333333333 243 93
"131" 3 0 -55.5833333333333 -31.5833333333333 180 121
"132" 2 0 -45.0833333333333 -7.75 259 118
"133" 1 0 -49.25 -10.4166666666667 269 120
"134" 3 0 -75.5833333333333 -8.75 255 123
"135" 1 0 -41.75 -10.5833333333333 247 125
"136" 1 0 -56.25 -18.5833333333333 260 113
"137" 2 0 -41.9166666666667 -13.4166666666667 188 118
"138" 1 0 -69.4166666666667 -11.75 246 113
"139" 2 0 -57.25 -26.5833333333333 222 115
"140" 2 0 -50.5833333333333 -7.41666666666667 245 125
"141" 3 0 -49.9166666666667 -21.5833333333333 217 127
"142" 3 0 -46.75 -17.5833333333333 239 122
"143" 1 0 -51.9166666666667 -18.4166666666667 238 120
"144" 1 0 -72.75 -11.5833333333333 256 119
"145" 1 0 -55.75 -7.58333333333333 255 124
"146" 2 0 -42.75 -19.0833333333333 219 120
"147" 3 0 -42.5833333333333 -7.41666666666667 272 124
"148" 3 0 -57.4166666666667 -27.9166666666667 219 122
"149" 1 0 -40.4166666666667 -12.25 229 98
"150" 3 0 -53.4166666666667 -30.75 185 102
"151" 1 0 -52.4166666666667 -13.9166666666667 249 137
"152" 1 0 -36.9166666666667 -9.08333333333333 232 93
"153" 2 0 -55.75 -8.58333333333333 243 134
"154" 2 0 -47.9166666666667 -5.25 266 111
"155" 3 0 -58.25 -15.9166666666667 256 128
"156" 1 0 -45.25 -11.4166666666667 232 147
"157" 2 0 -67.0833333333333 -5.58333333333333 260 94
"158" 2 0 -41.0833333333333 -21.0833333333333 237 94
"159" 3 0 -68.75 -7.25 255 110
"160" 3 0 -41.9166666666667 -22.4166666666667 229 85
"161" 2 0 -69.0833333333333 -2.08333333333333 255 89
"162" 2 0 -41.4166666666667 -6.75 249 111
"163" 1 0 -57.0833333333333 -13.4166666666667 252 137
"164" 3 0 -49.9166666666667 -24.0833333333333 190 121
"165" 1 0 -50.4166666666667 -26.25 169 124
"166" 1 0 -65.75 -15.75 253 111
"167" 2 0 -54.4166666666667 -24.0833333333333 217 116
"168" 3 0 -64.4166666666667 -3.41666666666667 269 89
"169" 2 0 -41.75 -3.91666666666667 272 114
"170" 2 0 -56.0833333333333 -8.75 253 132
"171" 1 0 -56.4166666666667 -31.9166666666667 175 121
"172" 2 0 -62.75 -8.91666666666667 258 106
"173" 3 0 -55.5833333333333 -13.5833333333333 245 136
"174" 1 0 -66.5833333333333 -3.25 257 92
"175" 3 0 -48.4166666666667 -6.25 259 111
"176" 1 0 -61.75 -8.91666666666667 255 111
"177" 1 0 -39.4166666666667 -15.9166666666667 236 78
"178" 2 0 -45.4166666666667 -6.41666666666667 255 117
"179" 3 0 -57.25 -13.5833333333333 250 137
"180" 3 0 -53.75 -16.5833333333333 229 134
"181" 1 0 -69.5833333333333 -10.9166666666667 246 114
"182" 1 0 -73.25 -13.25 137 162
"183" 1 0 -72.75 -6.58333333333333 259 101
"184" 3 0 -53.9166666666667 -26.5833333333333 182 132
"185" 2 0 -70.4166666666667 -12.75 247 101
"186" 2 0 -75.4166666666667 -7.58333333333333 267 121
"187" 2 0 -66.0833333333333 -12.9166666666667 263 118
"188" 3 0 -40.4166666666667 -14.5833333333333 195 92
"189" 3 0 -36.5833333333333 -6.41666666666667 257 97
"190" 1 0 -58.0833333333333 -12.9166666666667 241 139
"191" 2 0 -51.25 -24.0833333333333 192 128
"192" 2 0 -43.75 -10.0833333333333 248 141
"193" 2 0 -63.4166666666667 -4.25 264 88
"194" 3 0 -48.4166666666667 -24.9166666666667 187 89
"195" 2 0 -42.5833333333333 -14.9166666666667 216 110
"196" 3 0 -69.0833333333333 -12.25 251 113
"197" 1 0 -58.9166666666667 -11.4166666666667 235 132
"198" 1 0 -51.4166666666667 -20.25 238 126
"199" 1 0 -54.0833333333333 -28.25 200 118
"200" 2 0 -55.0833333333333 -12.5833333333333 247 143
"201" 2 0 -69.0833333333333 -8.41666666666667 249 119
"202" 3 0 -63.4166666666667 -15.4166666666667 255 118
"203" 3 0 -41.0833333333333 -13.5833333333333 225 110
"204" 2 0 -42.5833333333333 -7.58333333333333 272 127
"205" 3 0 -42.75 -20.75 200 121
"206" 2 0 -58.5833333333333 -21.9166666666667 249 120
"207" 1 0 -52.25 -13.9166666666667 248 135
"208" 1 0 -70.0833333333333 -5.91666666666667 255 104
"209" 3 0 -53.0833333333333 -9.75 252 140
"210" 2 0 -55.4166666666667 -30.25 185 117
"211" 2 0 -58.9166666666667 -19.0833333333333 250 130
"212" 3 0 -56.5833333333333 -29.0833333333333 204 118
"213" 3 0 -52.25 -6.58333333333333 250 126
"214" 2 0 -68.75 -2.58333333333333 254 90
"215" 3 0 -60.75 -13.4166666666667 235 130
"216" 3 0 -46.9166666666667 -9.08333333333333 252 123
"217" 2 0 -56.75 -7.08333333333333 259 115
"218" 2 0 -48.5833333333333 -4.58333333333333 264 105
"219" 1 0 -47.75 -15.5833333333333 218 109
"220" 3 0 -41.5833333333333 -4.58333333333333 251 117
"221" 3 0 -52.4166666666667 -5.58333333333333 249 114
"222" 1 0 -47.25 -24.5833333333333 213 85
"223" 2 0 -61.75 -11.0833333333333 239 131
"224" 1 0 -55.4166666666667 -28.4166666666667 207 121
"225" 2 0 -61.25 -7.41666666666667 262 103
"226" 2 0 -71.25 -7.41666666666667 256 103
"227" 1 0 -45.25 -15.25 230 136
"228" 3 0 -52.5833333333333 -23.25 214 124
"229" 1 0 -48.9166666666667 -12.0833333333333 264 119
"230" 3 0 -54.4166666666667 -4.58333333333333 256 103
"231" 3 0 -69.75 -8.91666666666667 250 117
"232" 3 0 -39.0833333333333 -10.0833333333333 232 113
"233" 1 0 -50.75 -6.75 247 121
"234" 2 0 -59.9166666666667 -10.9166666666667 236 128
"235" 1 0 -39.75 -17.75 243 85
"236" 2 0 -56.9166666666667 -20.9166666666667 236 117
"237" 1 0 -71.0833333333333 -12.0833333333333 249 110
"238" 3 0 -75.4166666666667 -8.91666666666667 256 121
"239" 3 0 -52.9166666666667 -31.9166666666667 178 104
"240" 2 0 -67.0833333333333 -6.58333333333333 259 101
"241" 3 0 -44.9166666666667 -19.75 218 135
"242" 2 0 -62.5833333333333 -3.91666666666667 265 87
"243" 1 0 -71.75 -12.0833333333333 248 116
"244" 2 0 -74.5833333333333 -13.9166666666667 46 158
"245" 1 0 -54.25 -12.75 246 145
"246" 1 0 -71.9166666666667 -16.4166666666667 188 157
