"group.all" "pa" "lon" "lat" "bio1" "bio2"
"247" 3 0 -67.4166666666667 -7.91666666666667 256 110
"248" 1 0 -70.75 -6.08333333333333 257 103
"249" 1 0 -38.75 -6.58333333333333 260 105
"250" 2 0 -54.4166666666667 -13.25 243 143
"251" 2 0 -51.25 -15.75 254 115
"252" 1 0 -47.0833333333333 -21.0833333333333 196 111
"253" 2 0 -69.5833333333333 -12.9166666666667 251 106
"254" 1 0 -37.25 -7.75 225 92
"255" 1 0 -65.25 -10.25 264 107
"256" 2 0 -65.5833333333333 -6.25 262 97
"257" 2 0 -41.25 -16.75 214 115
"258" 3 0 -53.75 -17.4166666666667 228 129
"259" 3 0 -54.5833333333333 -9.08333333333333 240 142
"260" 3 0 -39.4166666666667 -4.58333333333333 248 94
"261" 3 0 -49.4166666666667 -7.25 260 119
"262" 1 0 -65.75 -3.08333333333333 261 92
"263" 1 0 -51.25 -8.75 253 131
"264" 1 0 -49.4166666666667 -5.41666666666667 266 99
"265" 2 0 -71.9166666666667 -6.75 256 101
"266" 3 0 -68.9166666666667 -7.75 253 114
"267" 1 0 -47.4166666666667 -18.75 213 113
"268" 2 0 -69.5833333333333 -17.25 57 170
"269" 1 0 -70.9166666666667 -9.25 256 111
"270" 3 0 -50.0833333333333 -4.08333333333333 269 104
"271" 1 0 -44.75 -10.4166666666667 251 148
"272" 3 0 -57.4166666666667 -22.0833333333333 245 114
"273" 3 0 -44.5833333333333 -2.08333333333333 270 77
"274" 2 0 -55.0833333333333 -28.25 207 122
"275" 3 0 -64.5833333333333 -7.08333333333333 264 101
"276" 2 0 -57.5833333333333 -8.08333333333333 261 119
"277" 1 0 -70.25 -3.58333333333333 256 93
"278" 2 0 -63.9166666666667 -7.41666666666667 263 101
"279" 3 0 -46.4166666666667 -18.5833333333333 219 113
"280" 2 0 -70.9166666666667 -7.08333333333333 256 104
"281" 1 0 -40.5833333333333 -14.25 210 92
"282" 3 0 -49.25 -26.0833333333333 164 102
"283" 3 0 -52.0833333333333 -27.0833333333333 177 121
"284" 2 0 -42.4166666666667 -14.25 221 109
"285" 2 0 -68.9166666666667 -13.25 253 106
"286" 3 0 -58.4166666666667 -20.5833333333333 256 122
"287" 3 0 -55.4166666666667 -21.5833333333333 227 117
"288" 3 0 -69.0833333333333 -5.91666666666667 255 103
"289" 2 0 -51.5833333333333 -23.9166666666667 200 126
"290" 2 0 -72.9166666666667 -12.9166666666667 126 161
"291" 2 0 -68.0833333333333 -11.4166666666667 257 107
"292" 3 0 -46.25 -11.25 241 131
"293" 1 0 -55.9166666666667 -11.9166666666667 252 140
"294" 1 0 -55.0833333333333 -20.9166666666667 236 116
"295" 2 0 -63.25 -10.25 253 115
"296" 1 0 -55.75 -32.4166666666667 178 121
"297" 2 0 -57.25 -27.4166666666667 225 115
"298" 2 0 -42.9166666666667 -18.25 207 121
"299" 1 0 -55.0833333333333 -25.9166666666667 207 134
"300" 3 0 -67.25 -16.25 192 128
