"group.all" "pa" "lon" "lat" "bio1" "bio2"
"551" 1 0 -48.0833333333333 -17.4166666666667 232 141
"561" 2 0 -37.4166666666667 -5.75 269 100
"57" 2 0 -47.0833333333333 -4.25 259 109
"58" 1 0 -67.5833333333333 -12.4166666666667 260 111
"591" 2 0 -53.9166666666667 -19.9166666666667 238 117
"601" 3 0 -50.0833333333333 -9.91666666666666 270 124
"611" 3 0 -68.75 -11.0833333333333 251 105
"621" 2 0 -52.75 -28.5833333333333 189 105
"631" 1 0 -55.9166666666667 -26.5833333333333 216 124
"641" 1 0 -57.75 -10.75 247 133
"651" 1 0 -58.25 -20.5833333333333 256 120
"661" 3 0 -60.5833333333333 -9.08333333333333 253 116
"671" 2 0 -64.75 -2.25 264 92
"68" 2 0 -38.4166666666667 -8.58333333333333 245 100
"691" 3 0 -68.4166666666667 -11.0833333333333 254 105
"701" 1 0 -47.25 -11.75 259 125
"71" 1 0 -38.5833333333333 -9.75 222 106
"72" 1 0 -65.75 -7.91666666666666 262 104
"731" 3 0 -75.4166666666667 -9.25 254 119
"741" 2 0 -72.0833333333333 -16.0833333333333 127 169
"751" 3 0 -70.4166666666667 -15.4166666666667 70 171
"761" 2 0 -74.75 -12.4166666666667 104 151
"77" 3 0 -70.9166666666667 -7.08333333333333 256 104
"781" 1 0 -51.25 -20.75 230 124
"791" 2 0 -56.75 -9.91666666666666 255 134
"801" 3 0 -64.5833333333333 -8.58333333333333 261 104
"811" 2 0 -69.4166666666667 -14.4166666666667 94 141
"821" 2 0 -63.9166666666667 -11.0833333333333 254 117
"831" 3 0 -54.5833333333333 -13.75 238 139
"841" 1 0 -53.25 -22.0833333333333 230 122
"851" 1 0 -43.0833333333333 -11.5833333333333 255 138
"861" 2 0 -71.25 -7.58333333333333 257 104
"87" 3 0 -36.9166666666667 -5.58333333333333 276 94
"88" 3 0 -67.5833333333333 -10.5833333333333 261 107
"89" 3 0 -73.9166666666667 -14.0833333333333 100 166
"901" 1 0 -38.0833333333333 -8.58333333333333 230 99
"91" 1 0 -44.5833333333333 -3.08333333333333 273 91
"921" 3 0 -60.0833333333333 -12.0833333333333 221 129
"93" 1 0 -69.75 -5.58333333333333 255 103
"94" 3 0 -71.0833333333333 -2.91666666666666 259 92
"95" 1 0 -39.9166666666667 -8.25 248 117
"96" 2 0 -48.4166666666667 -11.25 262 124
"97" 3 0 -44.0833333333333 -23.25 233 91
"98" 3 0 -52.4166666666667 -26.4166666666667 166 136
"99" 3 0 -59.25 -21.5833333333333 251 125
"100" 1 0 -40.9166666666667 -18.4166666666667 223 110
"101" 3 0 -54.0833333333333 -26.0833333333333 191 136
"102" 3 0 -45.25 -9.41666666666666 244 131
"103" 3 0 -36.4166666666667 -9.58333333333333 234 84
"104" 2 0 -45.75 -20.75 205 131
"105" 2 0 -56.75 -30.0833333333333 197 119
