"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.14744098,0.08186721,-1e-04,0.26219508,0.09826066,0.08186721,0.891,0.69,"bioclim",1,1
"2",0.65199472,0.65199472,0.48502447,0.22884291,0.63749563,0.66298649,0.949,0.873333333333333,"domain",1,1
"3",0.08464576,0.08464576,-1e-04,0.27108644,0.06769661,0.01684915,0.89375,0.73375,"bioclim",1,2
"4",0.56725058,0.48161276,0.16582328,0.25536995,0.48161276,0.30991541,0.90125,0.735,"domain",1,2
"5",0.09667419,0.09667419,0.03215806,0.22570645,0.06441613,0.0482871,0.933275862068966,0.698620689655172,"bioclim",1,3
"6",0.6577341,0.6577341,0.39390922,0.21591382,0.59725023,0.49701982,0.922241379310345,0.767586206896552,"domain",1,3
