"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.7499,0.7499,-1e-04,-1e-04,0.1249,0.1249,0.7125,0.5,"bioclim",1,1
"2",0.77896977,0.57317586,-1e-04,0.04059767,0.2499,0.01734186,0.8025,0.71,"domain",1,1
"3",0.7499,0.7499,-1e-04,-1e-04,0.2499,0.1249,0.8,0.75,"bioclim",1,2
"4",0.76199677,0.76199677,0.26147407,0.06844839,0.42814074,0.26199677,0.83,0.75,"domain",1,2
"5",0.6249,0.4999,-1e-04,-1e-04,0.1249,0.1249,0.6075,0.46,"bioclim",1,3
"6",0.66599589,0.58323333,0.58323333,0.06656667,0.58323333,0.59156667,0.98375,0.93,"domain",1,3
