"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",-1e-04,-1e-04,-1e-04,-1e-04,0.3749,0.3749,0.46969696969697,0,"bioclim",1,1
"2",0.2499,0.2499,0.2499,-1e-04,0.2499,0.4999,0.838235294117647,0.764705882352941,"bioclim",1,2
"3",0.2499,0.2499,0.2499,-1e-04,0.2499,0.6249,0.803030303030303,0.636363636363636,"bioclim",1,3
"4",0.4999,0.4999,0.5,-1e-04,0.4999,0.5001,0.984848484848485,0.96969696969697,"bioclim",1,4
"5",0.2499,0.2499,0.2499,-1e-04,0.2499,0.3749,0.882352941176471,0.794117647058823,"bioclim",1,5
"6",0.2499,0.2499,0.25,-1e-04,0.2499,0.2501,0.939393939393939,0.878787878787879,"bioclim",1,6
"7",-1e-04,-1e-04,-1e-04,-1e-04,0.2499,0.2499,0.363636363636364,0,"bioclim",1,7
"8",-1e-04,-1e-04,-1e-04,-1e-04,0.1249,0.1249,0.279411764705882,0,"bioclim",1,8
"9",0.2499,0.2499,0.25,-1e-04,0.2499,0.2501,0.863636363636364,0.727272727272727,"bioclim",1,9
