"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.13626364,0.06808182,-1e-04,0.18171818,0.06808182,0.04535455,0.869523809523809,0.679523809523809,"bioclim",1,1
"2",0.56808182,0.53053241,0.26966285,0.17020303,0.49905825,0.44357589,0.907857142857143,0.747142857142857,"domain",1,1
"3",0.60344048,0.60344048,-1e-04,0.17404524,0.10806667,0.10806667,0.907619047619048,0.837142857142857,"rf",1,1
"4",0.15899091,0.06808182,-1e-04,0.15899091,0.06808182,0.09080909,0.954285714285714,0.814761904761905,"bioclim",1,2
"5",0.64983687,0.64983687,0.16497177,0.16890826,0.6091504,0.65699729,0.955,0.922380952380952,"domain",1,2
"6",0.52172619,0.52172619,0.27236667,0.17026667,0.36162381,0.5579,0.997142857142857,0.952380952380952,"rf",1,2
"7",0.16656667,0.0951381,-1e-04,0.19037619,0.0951381,0.14275714,0.924130434782609,0.773043478260869,"bioclim",1,3
"8",0.61609048,0.59471293,0.41674435,0.18751905,0.58732004,0.60746803,0.94195652173913,0.83304347826087,"domain",1,3
"9",0.61306667,0.15576667,4e-04,0.2118381,0.15906667,0.4956,0.950434782608696,0.866521739130435,"rf",1,3
