"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.13626364,0.06808182,-1e-04,0.18171818,0.06808182,0.06808182,0.879761904761905,0.707142857142857,"bioclim",1,1
"2",0.63527549,0.53053241,0.26966285,0.17020303,0.49905825,0.44357589,0.923809523809524,0.767142857142857,"domain",1,1
"3",0.27262727,0.13626364,-1e-04,0.18171818,0.13626364,0.09080909,0.914761904761905,0.717142857142857,"bioclim",1,2
"4",0.64983687,0.64983687,0.35072645,0.1801399,0.64983687,0.65568512,0.934761904761905,0.862380952380952,"domain",1,2
"5",0.16656667,0.16656667,-1e-04,0.19037619,0.14275714,0.14275714,0.926521739130435,0.786086956521739,"bioclim",1,3
"6",0.64847143,0.59471293,0.41674435,0.18751905,0.59471293,0.61001905,0.951739130434783,0.82304347826087,"domain",1,3
