"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.06808182,0.06808182,-1e-04,0.18171818,0.06808182,0.06808182,0.879761904761905,0.737142857142857,"bioclim",1,1
"2",0.53053241,0.53053241,0.26966285,0.17750943,0.48705415,0.44357589,0.91047619047619,0.747142857142857,"domain",1,1
"3",0.27262727,0.06808182,-1e-04,0.15899091,0.13626364,0.13626364,0.917619047619048,0.724761904761905,"bioclim",1,2
"4",0.64983687,0.64983687,0.35072645,0.16890826,0.64983687,0.66560248,0.941904761904762,0.892380952380952,"domain",1,2
"5",0.16656667,0.16656667,-1e-04,0.16656667,0.11894762,0.11894762,0.932391304347826,0.786086956521739,"bioclim",1,3
"6",0.59471293,0.59471293,0.41674435,0.18751905,0.56410068,0.61609048,0.952826086956522,0.863043478260869,"domain",1,3
