"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.19662131,0.13104754,-1e-04,0.26219508,0.09826066,0.08186721,0.913833333333333,0.7,"bioclim",1,1
"2",0.65199472,0.65199472,0.48502447,0.22918962,0.60888604,0.66298649,0.989666666666667,0.933333333333333,"domain",1,1
"3",0.08464576,0.08464576,-1e-04,0.27108644,0.03379831,0.03379831,0.90921875,0.76375,"bioclim",1,2
"4",0.56725058,0.48161276,0.16582328,0.23718814,0.46680118,0.30991541,0.90515625,0.775,"domain",1,2
"5",0.09667419,0.09667419,0.03215806,0.22570645,0.06441613,0.0482871,0.938103448275862,0.728620689655172,"bioclim",1,3
"6",0.6577341,0.6139553,0.39390922,0.22348176,0.56384009,0.49701982,0.934827586206897,0.802068965517241,"domain",1,3
