"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"108" 8 0 -46.9166666666667 -24.0833333333333 201 86 54
"109" 1 0 -45.25 -23.9166666666667 209 80 52
"110" 7 0 -50.4166666666667 -24.4166666666667 183 127 62
"111" 9 0 -50.4166666666667 -23.5833333333333 203 124 62
"112" 7 0 -44.0833333333333 -20.4166666666667 200 125 66
"113" 6 0 -44.9166666666667 -22.5833333333333 198 122 62
"114" 6 0 -43.0833333333333 -21.5833333333333 217 120 63
"115" 2 0 -43.0833333333333 -19.9166666666667 205 116 62
"116" 7 0 -41.75 -18.25 232 119 66
"117" 4 0 -41.0833333333333 -18.75 228 113 67
"118" 9 0 -48.75 -24.9166666666667 180 95 52
"119" 7 0 -47.9166666666667 -24.5833333333333 221 93 51
"120" 3 0 -40.9166666666667 -19.9166666666667 227 110 65
"121" 7 0 -45.9166666666667 -21.25 206 130 66
"122" 8 0 -51.0833333333333 -25.4166666666667 172 114 59
"123" 5 0 -45.9166666666667 -22.9166666666667 170 110 62
"124" 8 0 -47.25 -22.4166666666667 201 118 64
"125" 8 0 -45.9166666666667 -20.5833333333333 197 130 67
"126" 8 0 -46.75 -22.0833333333333 197 123 65
"127" 4 0 -42.25 -22.9166666666667 230 69 56
"128" 3 0 -48.75 -23.5833333333333 199 118 62
"129" 1 0 -48.4166666666667 -24.5833333333333 212 98 52
"130" 6 0 -48.5833333333333 -21.75 215 121 65
"131" 9 0 -41.9166666666667 -22.75 229 68 56
"132" 1 0 -42.9166666666667 -21.4166666666667 212 120 63
"133" 2 0 -42.0833333333333 -18.75 231 118 65
"134" 3 0 -42.9166666666667 -21.9166666666667 209 116 61
"135" 2 0 -48.75 -22.0833333333333 213 123 64
"136" 1 0 -43.0833333333333 -19.25 213 121 64
"137" 9 0 -47.5833333333333 -21.75 210 120 65
"138" 9 0 -49.75 -25.25 175 112 58
"139" 5 0 -46.25 -22.5833333333333 155 114 64
"140" 8 0 -49.25 -25.75 164 103 55
"141" 4 0 -47.75 -23.4166666666667 195 110 61
"142" 2 0 -50.9166666666667 -23.4166666666667 208 123 63
"143" 8 0 -42.4166666666667 -20.0833333333333 220 122 64
"144" 3 0 -40.75 -21.0833333333333 239 87 61
"145" 1 0 -48.9166666666667 -27.25 193 88 49
"146" 5 0 -49.0833333333333 -26.25 172 95 52
"147" 1 0 -44.5833333333333 -22.25 154 125 64
"148" 4 0 -42.25 -19.4166666666667 227 122 65
"149" 5 0 -44.0833333333333 -22.9166666666667 203 106 60
"150" 9 0 -43.75 -21.25 188 108 64
"151" 8 0 -50.75 -24.5833333333333 181 128 61
"152" 2 0 -48.9166666666667 -23.75 195 116 61
"153" 1 0 -41.75 -21.9166666666667 225 100 58
"154" 1 0 -39.9166666666667 -19.5833333333333 243 85 60
"155" 6 0 -44.75 -20.75 195 123 68
"156" 8 0 -46.9166666666667 -22.4166666666667 200 120 64
"157" 9 0 -42.75 -22.9166666666667 226 82 56
"158" 2 0 -50.75 -23.75 178 126 64
"159" 8 0 -46.0833333333333 -23.0833333333333 184 105 61
"160" 1 0 -41.0833333333333 -21.75 232 87 58
"161" 2 0 -43.25 -19.9166666666667 202 115 62
"162" 4 0 -39.75 -18.75 241 88 63
"163" 4 0 -45.9166666666667 -23.4166666666667 181 96 58
"164" 9 0 -45.25 -21.0833333333333 206 127 66
"165" 2 0 -47.25 -24.25 211 88 53
"166" 6 0 -41.5833333333333 -19.0833333333333 241 118 65
"167" 6 0 -42.4166666666667 -21.0833333333333 221 128 62
"168" 7 0 -46.25 -21.25 201 125 66
"169" 9 0 -42.4166666666667 -21.5833333333333 225 123 62
"170" 4 0 -39.4166666666667 -17.9166666666667 243 76 62
"171" 4 0 -50.0833333333333 -26.25 168 121 56
"172" 3 0 -41.4166666666667 -17.4166666666667 228 120 68
"173" 8 0 -42.4166666666667 -22.5833333333333 230 86 58
"174" 1 0 -50.75 -24.4166666666667 183 131 61
"175" 2 0 -46.0833333333333 -23.4166666666667 184 96 58
"176" 5 0 -42.25 -20.0833333333333 205 123 65
"177" 9 0 -40.5833333333333 -19.4166666666667 240 104 66
"178" 4 0 -48.4166666666667 -23.75 195 112 59
