"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","TSS","algoritmo","run","partition"
"1",0.15899091,0.13626364,-1e-04,0.18171818,0.09080909,0.06808182,0.900952380952381,0.70952380952381,"bioclim",1,1
"2",0.69626364,0.63710539,0.34333434,0.17750943,0.59838485,0.54232424,0.936428571428571,0.797142857142857,"domain",1,1
"3",0.27262727,0.27262727,-1e-04,0.18171818,0.15899091,0.15899091,0.920238095238095,0.751904761904762,"bioclim",1,2
"4",0.75400354,0.64983687,0.35072645,0.16890826,0.64983687,0.65568512,0.96,0.862380952380952,"domain",1,2
"5",0.16656667,0.16656667,-1e-04,0.16656667,0.14275714,0.14275714,0.896521739130435,0.756086956521739,"bioclim",1,3
"6",0.6916517,0.6683435,0.41674435,0.17804626,0.62532517,0.61001905,0.934782608695652,0.759565217391304,"domain",1,3
