"group.all" "pa" "lon" "lat" "bio1" "bio2"
"251" 2 0 -61.4166666666667 -6.25 264 95
"252" 1 0 -67.5833333333333 -9.91666666666667 260 107
"253" 2 0 -39.75 -5.25 255 90
"254" 1 0 -49.5833333333333 -23.4166666666667 208 123
"255" 1 0 -51.9166666666667 -15.25 255 127
"256" 2 0 -50.4166666666667 -9.91666666666667 269 125
"257" 2 0 -41.4166666666667 -13.5833333333333 193 116
"258" 3 0 -49.25 -24.0833333333333 191 116
"259" 3 0 -49.0833333333333 -25.5833333333333 167 98
"260" 3 0 -38.0833333333333 -8.25 230 98
"261" 3 0 -53.4166666666667 -12.0833333333333 249 149
"262" 1 0 -58.9166666666667 -18.25 242 127
"263" 1 0 -45.25 -18.0833333333333 233 132
"264" 1 0 -64.75 -7.25 264 101
"265" 2 0 -73.0833333333333 -9.58333333333333 258 112
"266" 3 0 -51.4166666666667 -26.75 149 121
"267" 1 0 -48.9166666666667 -14.0833333333333 249 106
"268" 2 0 -53.4166666666667 -18.5833333333333 240 123
"269" 1 0 -66.25 -14.4166666666667 255 113
"270" 3 0 -75.0833333333333 -10.9166666666667 213 128
"271" 1 0 -40.75 -21.0833333333333 239 87
"272" 3 0 -35.4166666666667 -5.91666666666667 255 95
"273" 3 0 -49.0833333333333 -21.0833333333333 225 125
"274" 2 0 -49.9166666666667 -24.4166666666667 165 119
"275" 3 0 -64.75 -7.75 263 103
"276" 2 0 -44.75 -5.41666666666667 267 108
"277" 1 0 -56.75 -21.9166666666667 235 116
"278" 2 0 -40.25 -5.91666666666667 251 101
"279" 3 0 -41.25 -14.9166666666667 226 106
"280" 2 0 -64.75 -9.58333333333333 261 106
"281" 1 0 -52.5833333333333 -15.25 224 142
"282" 3 0 -70.4166666666667 -4.25 258 97
"283" 3 0 -35.75 -7.25 238 89
"284" 2 0 -35.4166666666667 -5.25 260 84
"285" 2 0 -38.4166666666667 -9.75 231 104
"286" 3 0 -71.75 -14.9166666666667 32 180
"287" 3 0 -43.4166666666667 -12.25 249 138
"288" 3 0 -42.25 -11.9166666666667 207 128
"289" 2 0 -72.4166666666667 -8.41666666666667 256 104
"290" 2 0 -46.25 -12.9166666666667 241 113
"291" 2 0 -44.5833333333333 -4.41666666666667 273 104
"292" 3 0 -65.75 -12.75 264 119
"293" 1 0 -50.9166666666667 -9.08333333333333 259 130
"294" 1 0 -70.75 -16.25 51 169
"295" 2 0 -56.75 -19.4166666666667 257 108
"296" 1 0 -73.9166666666667 -12.25 231 137
"297" 2 0 -50.25 -12.0833333333333 272 118
"298" 2 0 -65.5833333333333 -9.58333333333333 262 107
"299" 1 0 -64.25 -5.41666666666667 264 92
"300" 3 0 -70.0833333333333 -13.4166666666667 226 104
